,time,qpos,qvel,qacc,ctrl
0,0.0,[0. 0.],[0. 0.],[  -6.85120121 -496.47992436],[ 0.50533727 -0.58625897]
1,0.001,[-6.85120121e-06 -4.96479924e-04],[-0.0068512  -0.49647992],[  -6.50422218 -474.32861816],[ 0.50500913 -0.5604918 ]
2,0.002,[-2.02066246e-05 -1.46728847e-03],[-0.01335542 -0.97080854],[  -6.17031185 -453.00958199],[ 0.50466332 -0.53573336]
3,0.003,[-3.97323599e-05 -2.89110659e-03],[-0.01952574 -1.42381812],[  -5.84894338 -432.49191404],[ 0.50430046 -0.51194629]
4,0.004,[-6.51070385e-05 -4.74741663e-03],[-0.02537468 -1.85631004],[  -5.53959298 -412.74574057],[ 0.50392115 -0.48909464]
5,0.005,[-9.60213101e-05 -7.01647241e-03],[-0.03091427 -2.26905578],[  -5.24174562 -393.74222695],[ 0.50352595 -0.46714377]
6,0.006,[-0.00013218 -0.00967927],[-0.03615602 -2.66279801],[  -4.95489933 -375.45357776],[ 0.50311542 -0.44606035]
7,0.007,[-0.00017329 -0.01271752],[-0.04111092 -3.03825158],[  -4.67856853 -357.85302834],[ 0.50269007 -0.4258123 ]
8,0.008,[-0.00021908 -0.01611363],[-0.04578949 -3.39610461],[  -4.41228642 -340.91482929],[ 0.50225042 -0.40636874]
9,0.009000000000000001,[-0.00026928 -0.01985065],[-0.05020177 -3.73701944],[  -4.15560655 -324.61422565],[ 0.50179692 -0.38769992]
10,0.010000000000000002,[-0.00032364 -0.02391228],[-0.05435738 -4.06163367],[  -3.90810388 -308.92743183],[ 0.50133005 -0.36977725]
11,0.011000000000000003,[-0.0003819  -0.02828284],[-0.05826548 -4.3705611 ],[  -3.66937529 -293.83160341],[ 0.50085024 -0.35257316]
12,0.012000000000000004,[-0.00044384 -0.03294723],[-0.06193486 -4.6643927 ],[  -3.43903967 -279.30480674],[ 0.5003579  -0.33606112]
13,0.013000000000000005,[-0.00050921 -0.03789093],[-0.0653739  -4.94369751],[  -3.21673772 -265.32598698],[ 0.49985343 -0.32021558]
14,0.014000000000000005,[-0.0005778  -0.04309995],[-0.06859063 -5.2090235 ],[  -3.00213148 -251.87493519],[ 0.49933722 -0.30501196]
15,0.015000000000000006,[-0.00064939 -0.04856085],[-0.07159277 -5.46089843],[  -2.79490364 -238.93225504],[ 0.49880962 -0.29042654]
16,0.016000000000000007,[-0.00072378 -0.05426068],[-0.07438767 -5.69983069],[  -2.59475677 -226.47932936],[ 0.498271  -0.2764365]
17,0.017000000000000008,[-0.00080076 -0.06018699],[-0.07698243 -5.92631002],[  -2.40141234 -214.4982871 ],[ 0.49772168 -0.26301984]
18,0.01800000000000001,[-0.00088015 -0.0663278 ],[-0.07938384 -6.1408083 ],[  -2.21460979 -202.97197072],[ 0.49716198 -0.25015537]
19,0.01900000000000001,[-0.00096175 -0.07267158],[-0.08159845 -6.34378027],[  -2.03410541 -191.88390439],[ 0.49659223 -0.23782265]
20,0.02000000000000001,[-0.00104538 -0.07920725],[-0.08363255 -6.53566418],[  -1.85967137 -181.21826297],[ 0.49601271 -0.22600199]
21,0.02100000000000001,[-0.00113087 -0.08592413],[-0.08549223 -6.71688244],[  -1.69109456 -170.95984213],[ 0.49542372 -0.21467441]
22,0.022000000000000013,[-0.00121805 -0.09281197],[-0.08718332 -6.88784228],[  -1.52817559 -161.09402946],[ 0.49482552 -0.20382159]
23,0.023000000000000013,[-0.00130677 -0.09986091],[-0.0887115  -7.04893631],[  -1.37072772 -151.60677674],[ 0.4942184  -0.19342588]
24,0.024000000000000014,[-0.00139685 -0.10706145],[-0.09008222 -7.20054309],[  -1.2185759  -142.48457346],[ 0.49360261 -0.18347024]
25,0.025000000000000015,[-0.00148815 -0.11440448],[-0.0913008  -7.34302766],[  -1.07155575 -133.71442148],[ 0.49297841 -0.17393826]
26,0.026000000000000016,[-0.00158052 -0.12188122],[-0.09237235 -7.47674208],[  -0.92951269 -125.28381094],[ 0.49234602 -0.16481408]
27,0.027000000000000017,[-0.00167382 -0.12948325],[-0.09330187 -7.6020259 ],[  -0.79230105 -117.18069732],[ 0.4917057  -0.15608242]
28,0.028000000000000018,[-0.00176792 -0.13720245],[-0.09409417 -7.71920659],[  -0.65978324 -109.39347975],[ 0.49105767 -0.14772851]
29,0.02900000000000002,[-0.00186267 -0.14503105],[-0.09475395 -7.82860007],[  -0.53182899 -101.91098042],[ 0.49040216 -0.13973813]
30,0.03000000000000002,[-0.00195796 -0.15296156],[-0.09528578 -7.93051105],[ -0.40831466 -94.72242515],[ 0.48973938 -0.13209754]
31,0.03100000000000002,[-0.00205365 -0.1609868 ],[-0.0956941  -8.02523348],[ -0.28912254 -87.81742502],[ 0.48906955 -0.12479348]
32,0.03200000000000002,[-0.00214963 -0.16909985],[-0.09598322 -8.1130509 ],[ -0.17414026 -81.18595908],[ 0.48839286 -0.11781314]
33,0.03300000000000002,[-0.00224579 -0.17729409],[-0.09615736 -8.19423686],[-6.3260255e-02 -7.4818358e+01],[ 0.48770953 -0.11114419]
34,0.03400000000000002,[-0.00234201 -0.18556314],[-0.09622062 -8.26905522],[ 4.36207895e-02 -6.87052887e+01],[ 0.48701974 -0.10477471]
35,0.035000000000000024,[-0.00243819 -0.1939009 ],[-0.096177   -8.33776051],[  0.14660236 -62.83774014],[ 0.48632369 -0.09869319]
36,0.036000000000000025,[-0.00253422 -0.2023015 ],[-0.0960304  -8.40059825],[  0.24578057 -57.20700925],[ 0.48562156 -0.09288852]
37,0.037000000000000026,[-0.00263   -0.2107593],[-0.09578461 -8.45780526],[  0.34124847 -51.80468861],[ 0.48491355 -0.08735001]
38,0.03800000000000003,[-0.00272545 -0.21926891],[-0.09544337 -8.50960995],[  0.43309646 -46.62265425],[ 0.48419981 -0.0820673 ]
39,0.03900000000000003,[-0.00282046 -0.22782515],[-0.09501027 -8.5562326 ],[  0.52141251 -41.65305437],[ 0.48348054 -0.07703043]
40,0.04000000000000003,[-0.00291495 -0.23642303],[-0.09448886 -8.59788566],[  0.6062825  -36.88829876],[ 0.48275589 -0.07222976]
41,0.04100000000000003,[-0.00300883 -0.24505781],[-0.09388257 -8.63477395],[  0.68779035 -32.32104877],[ 0.48202604 -0.06765602]
42,0.04200000000000003,[-0.00310202 -0.2537249 ],[-0.09319478 -8.667095  ],[  0.76601831 -27.94420798],[ 0.48129115 -0.06330022]
43,0.04300000000000003,[-0.00319445 -0.26241994],[-0.09242877 -8.69503921],[  0.84104708 -23.7509133 ],[ 0.48055136 -0.05915375]
44,0.04400000000000003,[-0.00328604 -0.27113873],[-0.09158772 -8.71879012],[  0.91295596 -19.73452664],[ 0.47980685 -0.05520825]
