,time,qpos,qvel,qacc,ctrl
0,0.0,[0. 0.],[0. 0.],[  -2.84085859 -191.97189106],[ 0.09224478 -0.22506779]
1,0.001,[-2.84085859e-06 -1.91971891e-04],[-0.00284086 -0.19197189],[  -2.70860842 -183.62179549],[ 0.09290378 -0.21536734]
2,0.002,[-8.39032560e-06 -5.67565578e-04],[-0.00554947 -0.37559369],[  -2.58129632 -175.58562557],[ 0.09355552 -0.20604768]
3,0.003,[-1.65210889e-05 -1.11874489e-03],[-0.00813076 -0.55117931],[  -2.45873829 -167.85183448],[ 0.09420023 -0.19709471]
4,0.004,[-2.71105906e-05 -1.83777604e-03],[-0.0105895  -0.71903115],[  -2.3407561  -160.40929145],[ 0.09483815 -0.18849487]
5,0.005,[-4.00408483e-05 -2.71721647e-03],[-0.01293026 -0.87944044],[  -2.22717741 -153.24726933],[ 0.09546948 -0.18023509]
6,0.006,[-5.51982834e-05 -3.74990418e-03],[-0.01515744 -1.03268771],[  -2.11783581 -146.35543202],[ 0.09609444 -0.17230276]
7,0.007,[-7.24735544e-05 -4.92894732e-03],[-0.01727527 -1.17904314],[  -2.01257082 -139.72382193],[ 0.09671323 -0.16468576]
8,0.008,[-9.17613961e-05 -6.24771428e-03],[-0.01928784 -1.31876696],[  -1.91122786 -133.3428474 ],[ 0.09732603 -0.15737241]
9,0.009000000000000001,[-0.00011296 -0.00769982],[-0.02119907 -1.45210981],[  -1.81365814 -127.20327032],[ 0.09793303 -0.15035145]
10,0.010000000000000002,[-0.00013597 -0.00927914],[-0.02301273 -1.57931308],[  -1.71971857 -121.29619387],[ 0.09853442 -0.14361204]
11,0.011000000000000003,[-0.00016071 -0.01097975],[-0.02473245 -1.70060927],[  -1.62927162 -115.61305051],[ 0.09913035 -0.13714373]
12,0.012000000000000004,[-0.00018707 -0.01279597],[-0.02636172 -1.81622232],[  -1.54218519 -110.14559017],[ 0.09972099 -0.13093647]
13,0.013000000000000005,[-0.00021497 -0.01472234],[-0.0279039  -1.92636791],[  -1.45833242 -104.88586878],[ 0.10030651 -0.12498056]
14,0.014000000000000005,[-0.00024433 -0.01675359],[-0.02936224 -2.03125378],[ -1.37759154 -99.82623706],[ 0.10088705 -0.11926668]
15,0.015000000000000006,[-0.00027507 -0.01888467],[-0.03073983 -2.13108002],[ -1.29984567 -94.95932963],[ 0.10146276 -0.11378582]
16,0.016000000000000007,[-0.00030711 -0.02111071],[-0.03203967 -2.22603935],[ -1.22498269 -90.27805448],[ 0.10203379 -0.10852933]
17,0.017000000000000008,[-0.00034038 -0.02342703],[-0.03326466 -2.3163174 ],[ -1.15289499 -85.77558272],[ 0.10260026 -0.10348887]
18,0.01800000000000001,[-0.0003748  -0.02582912],[-0.03441755 -2.40209299],[ -1.08347935 -81.44533868],[ 0.1031623  -0.09865638]
19,0.01900000000000001,[-0.0004103  -0.02831266],[-0.03550103 -2.48353832],[ -1.01663673 -77.28099037],[ 0.10372005 -0.09402414]
20,0.02000000000000001,[-0.00044681 -0.03087348],[-0.03651767 -2.56081932],[ -0.95227208 -73.27644028],[ 0.10427362 -0.08958467]
21,0.02100000000000001,[-0.00048428 -0.03350757],[-0.03746994 -2.63409576],[ -0.89029423 -69.42581643],[ 0.10482313 -0.08533079]
22,0.022000000000000013,[-0.00052264 -0.0362111 ],[-0.03836023 -2.70352157],[ -0.83061566 -65.72346388],[ 0.10536869 -0.08125557]
23,0.023000000000000013,[-0.00056183 -0.03898034],[-0.03919085 -2.76924504],[ -0.77315235 -62.16393641],[ 0.10591041 -0.07735234]
24,0.024000000000000014,[-0.0006018  -0.04181175],[-0.039964   -2.83140897],[ -0.71782367 -58.74198863],[ 0.1064484  -0.07361467]
25,0.025000000000000015,[-0.00064248 -0.0447019 ],[-0.04068182 -2.89015096],[ -0.66455215 -55.45256832],[ 0.10698274 -0.07003637]
26,0.026000000000000016,[-0.00068383 -0.0476475 ],[-0.04134638 -2.94560353],[ -0.61326341 -52.29080911],[ 0.10751354 -0.06661147]
27,0.027000000000000017,[-0.00072579 -0.0506454 ],[-0.04195964 -2.99789434],[ -0.563886   -49.25202341],[ 0.1080409  -0.06333422]
28,0.028000000000000018,[-0.00076831 -0.05369254],[-0.04252353 -3.04714636],[ -0.51635123 -46.33169564],[ 0.10856489 -0.06019907]
29,0.02900000000000002,[-0.00081135 -0.05678602],[-0.04303988 -3.09347806],[ -0.4705931  -43.52547573],[ 0.10908562 -0.0572007 ]
30,0.03000000000000002,[-0.00085486 -0.05992303],[-0.04351047 -3.13700353],[ -0.42654813 -40.82917284],[ 0.10960315 -0.05433395]
31,0.03100000000000002,[-0.0008988  -0.06310086],[-0.04393702 -3.17783271],[ -0.3841553  -38.23874936],[ 0.11011757 -0.05159387]
32,0.03200000000000002,[-0.00094312 -0.06631693],[-0.04432117 -3.21607146],[ -0.34335587 -35.75031515],[ 0.11062896 -0.04897569]
33,0.03300000000000002,[-0.00098778 -0.06956875],[-0.04466453 -3.25182177],[ -0.30409335 -33.360122  ],[ 0.11113739 -0.0464748 ]
34,0.03400000000000002,[-0.00103275 -0.07285393],[-0.04496862 -3.28518189],[ -0.26631336 -31.06455831],[ 0.11164294 -0.04408677]
35,0.035000000000000024,[-0.00107799 -0.07617018],[-0.04523494 -3.31624645],[ -0.22996351 -28.86014398],[ 0.11214566 -0.04180733]
36,0.036000000000000025,[-0.00112345 -0.07951529],[-0.0454649  -3.34510659],[ -0.19499339 -26.74352549],[ 0.11264564 -0.03963237]
37,0.037000000000000026,[-0.00116911 -0.08288714],[-0.04565989 -3.37185012],[ -0.16135443 -24.71147122],[ 0.11314293 -0.03755791]
38,0.03800000000000003,[-0.00121493 -0.0862837 ],[-0.04582125 -3.39656159],[ -0.1289998  -22.76086688],[ 0.11363759 -0.03558013]
39,0.03900000000000003,[-0.00126088 -0.08970302],[-0.04595025 -3.41932246],[ -0.09788441 -20.88871122],[ 0.11412969 -0.03369536]
40,0.04000000000000003,[-0.00130693 -0.09314323],[-0.04604813 -3.44021117],[ -0.06796477 -19.0921118 ],[ 0.11461928 -0.03190004]
41,0.04100000000000003,[-0.00135305 -0.09660254],[-0.0461161  -3.45930328],[ -0.03919894 -17.36828102],[ 0.11510642 -0.03019077]
42,0.04200000000000003,[-0.0013992  -0.10007921],[-0.0461553  -3.47667156],[-1.15464924e-02 -1.57145322e+01],[ 0.11559116 -0.02856423]
43,0.04300000000000003,[-0.00144537 -0.10357159],[-0.04616684 -3.49238609],[  0.01503159 -14.12827604],[ 0.11607356 -0.02701727]
44,0.04400000000000003,[-0.00149152 -0.10707811],[-0.04615181 -3.50651437],[  0.04057294 -12.60701678],[ 0.11655366 -0.02554682]
45,0.04500000000000003,[-0.00153763 -0.11059723],[-0.04611124 -3.51912139],[  0.06511387 -11.14834904],[ 0.11703151 -0.02414995]
46,0.046000000000000034,[-0.00158368 -0.1141275 ],[-0.04604612 -3.53026974],[ 0.08868945 -9.74995438],[ 0.11750716 -0.02282381]
47,0.047000000000000035,[-0.00162964 -0.11766752],[-0.04595743 -3.54001969],[ 0.11133349 -8.40959821],[ 0.11798065 -0.02156566]
48,0.048000000000000036,[-0.00167548 -0.12121595],[-0.0458461  -3.54842929],[ 0.13307868 -7.12512668],[ 0.11845203 -0.02037288]
49,0.04900000000000004,[-0.0017212 -0.1247715],[-0.04571302 -3.55555442],[ 0.15395656 -5.89446382],[ 0.11892133 -0.01924293]
50,0.05000000000000004,[-0.00176675 -0.12833295],[-0.04555907 -3.56144888],[ 0.17399758 -4.71560864],[ 0.1193886  -0.01817337]
51,0.05100000000000004,[-0.00181214 -0.13189912],[-0.04538507 -3.56616449],[ 0.19323118 -3.58663251],[ 0.11985388 -0.01716184]
52,0.05200000000000004,[-0.00185733 -0.13546887],[-0.04519184 -3.56975112],[ 0.21168576 -2.50567648],[ 0.1203172  -0.01620607]
53,0.05300000000000004,[-0.00190231 -0.13904112],[-0.04498015 -3.5722568 ],[ 0.22938879 -1.47094879],[ 0.1207786  -0.01530388]
54,0.05400000000000004,[-0.00194706 -0.14261485],[-0.04475076 -3.57372775],[ 0.24636678 -0.48072246],[ 0.12123812 -0.01445317]
55,0.05500000000000004,[-0.00199157 -0.14618906],[-0.0445044  -3.57420847],[0.26264537 0.46666705],[ 0.12169578 -0.0136519 ]
56,0.05600000000000004,[-0.00203581 -0.1497628 ],[-0.04424175 -3.5737418 ],[0.2782493  1.37282405],[ 0.12215162 -0.01289813]
57,0.057000000000000044,[-0.00207977 -0.15333517],[-0.0439635  -3.57236898],[0.29320251 2.23929486],[ 0.12260567 -0.01218998]
58,0.058000000000000045,[-0.00212344 -0.1569053 ],[-0.0436703  -3.57012968],[0.30752812 3.06756978],[ 0.12305796 -0.01152564]
59,0.059000000000000045,[-0.0021668  -0.16047236],[-0.04336277 -3.56706211],[0.32124847 3.8590852 ],[ 0.12350853 -0.01090336]
60,0.060000000000000046,[-0.00220985 -0.16403557],[-0.04304152 -3.56320303],[0.33438516 4.61522545],[ 0.12395739 -0.01032146]
61,0.06100000000000005,[-0.00225255 -0.16759415],[-0.04270714 -3.5585878 ],[0.34695905 5.3373247 ],[ 0.12440457 -0.00977833]
62,0.06200000000000005,[-0.00229491 -0.1711474 ],[-0.04236018 -3.55325048],[0.3589903  6.02666876],[ 0.1248501  -0.00927241]
63,0.06300000000000004,[-0.00233691 -0.17469463],[-0.04200119 -3.54722381],[0.37049843 6.68449679],[ 0.12529401 -0.0088022 ]
64,0.06400000000000004,[-0.00237855 -0.17823517],[-0.04163069 -3.54053931],[0.38150225 7.31200295],[ 0.12573631 -0.00836626]
65,0.06500000000000004,[-0.00241979 -0.18176839],[-0.04124919 -3.53322731],[0.39201997 7.91033806],[ 0.12617704 -0.0079632 ]
66,0.06600000000000004,[-0.00246065 -0.18529371],[-0.04085717 -3.52531697],[0.4020692 8.4806111],[ 0.12661621 -0.00759167]
67,0.06700000000000005,[-0.00250111 -0.18881055],[-0.0404551  -3.51683636],[0.41166693 9.0238907 ],[ 0.12705384 -0.00725039]
68,0.06800000000000005,[-0.00254115 -0.19231836],[-0.04004343 -3.50781247],[0.42082959 9.54120664],[ 0.12748996 -0.00693812]
69,0.06900000000000005,[-0.00258077 -0.19581663],[-0.0396226  -3.49827126],[ 0.42957307 10.03355116],[ 0.12792459 -0.00665367]
70,0.07000000000000005,[-0.00261997 -0.19930487],[-0.03919303 -3.48823771],[ 0.43791272 10.50188035],[ 0.12835773 -0.00639588]
71,0.07100000000000005,[-0.00265872 -0.2027826 ],[-0.03875512 -3.47773583],[ 0.44586335 10.94711542],[ 0.12878942 -0.00616366]
72,0.07200000000000005,[-0.00269703 -0.20624939],[-0.03830925 -3.46678872],[ 0.4534393  11.37014396],[ 0.12921967 -0.00595592]
73,0.07300000000000005,[-0.00273489 -0.20970481],[-0.03785581 -3.45541857],[ 0.46065441 11.77182111],[ 0.1296485  -0.00577166]
74,0.07400000000000005,[-0.00277228 -0.21314846],[-0.03739516 -3.44364675],[ 0.46752206 12.15297078],[ 0.13007592 -0.00560987]
75,0.07500000000000005,[-0.00280921 -0.21657995],[-0.03692764 -3.43149378],[ 0.47405518 12.51438669],[ 0.13050195 -0.00546962]
76,0.07600000000000005,[-0.00284566 -0.21999893],[-0.03645358 -3.41897939],[ 0.48026623 12.8568335 ],[ 0.1309266  -0.00534999]
77,0.07700000000000005,[-0.00288164 -0.22340505],[-0.03597331 -3.40612256],[ 0.4861673  13.18104785],[ 0.13134989 -0.0052501 ]
78,0.07800000000000006,[-0.00291712 -0.226798  ],[-0.03548715 -3.39294151],[ 0.49177001 13.48773932],[ 0.13177182 -0.0051691 ]
79,0.07900000000000006,[-0.00295212 -0.23017745],[-0.03499538 -3.37945377],[ 0.49708563 13.77759145],[ 0.13219243 -0.00510618]
80,0.08000000000000006,[-0.00298662 -0.23354313],[-0.03449829 -3.36567618],[ 0.50212503 14.05126265],[ 0.13261171 -0.00506055]
81,0.08100000000000006,[-0.00302061 -0.23689475],[-0.03399617 -3.35162492],[ 0.50689869 14.30938709],[ 0.13302968 -0.00503147]
82,0.08200000000000006,[-0.0030541  -0.24023207],[-0.03348927 -3.33731553],[ 0.51141675 14.55257559],[ 0.13344636 -0.0050182 ]
83,0.08300000000000006,[-0.00308708 -0.24355483],[-0.03297785 -3.32276296],[ 0.515689   14.78141645],[ 0.13386174 -0.00502005]
84,0.08400000000000006,[-0.00311954 -0.24686281],[-0.03246216 -3.30798154],[ 0.51972489 14.99647623],[ 0.13427585 -0.00503635]
85,0.08500000000000006,[-0.00315148 -0.2501558 ],[-0.03194244 -3.29298506],[ 0.52353354 15.19830061],[ 0.13468869 -0.00506645]
86,0.08600000000000006,[-0.0031829  -0.25343358],[-0.0314189  -3.27778676],[ 0.52712375 15.38741505],[ 0.13510028 -0.00510973]
87,0.08700000000000006,[-0.0032138  -0.25669598],[-0.03089178 -3.26239935],[ 0.53050403 15.56432556],[ 0.13551062 -0.0051656 ]
88,0.08800000000000006,[-0.00324416 -0.25994282],[-0.03036128 -3.24683502],[ 0.53368258 15.72951943],[ 0.13591972 -0.00523347]
89,0.08900000000000007,[-0.00327398 -0.26317392],[-0.02982759 -3.2311055 ],[ 0.53666732 15.88346584],[ 0.1363276 -0.0053128]
90,0.09000000000000007,[-0.00330328 -0.26638914],[-0.02929093 -3.21522204],[ 0.53946589 16.02661655],[ 0.13673425 -0.00540306]
91,0.09100000000000007,[-0.00333203 -0.26958834],[-0.02875146 -3.19919542],[ 0.54208567 16.15940655],[ 0.13713969 -0.00550374]
92,0.09200000000000007,[-0.00336024 -0.27277138],[-0.02820937 -3.18303601],[ 0.54453377 16.28225462],[ 0.13754393 -0.00561434]
93,0.09300000000000007,[-0.0033879  -0.27593813],[-0.02766484 -3.16675376],[ 0.54681707 16.39556394],[ 0.13794697 -0.00573439]
94,0.09400000000000007,[-0.00341502 -0.27908849],[-0.02711802 -3.15035819],[ 0.54894217 16.49972266],[ 0.13834881 -0.00586344]
95,0.09500000000000007,[-0.00344159 -0.28222235],[-0.02656908 -3.13385847],[ 0.55091547 16.59510444],[ 0.13874948 -0.00600106]
96,0.09600000000000007,[-0.00346761 -0.28533961],[-0.02601817 -3.11726337],[ 0.55274314 16.68206895],[ 0.13914896 -0.00614681]
97,0.09700000000000007,[-0.00349307 -0.28844019],[-0.02546542 -3.1005813 ],[ 0.55443111 16.76096244],[ 0.13954728 -0.00630031]
98,0.09800000000000007,[-0.00351798 -0.29152401],[-0.02491099 -3.08382034],[ 0.55598511 16.83211814],[ 0.13994443 -0.00646117]
99,0.09900000000000007,[-0.00354234 -0.294591  ],[-0.02435501 -3.06698822],[ 0.55741068 16.89585682],[ 0.14034042 -0.006629  ]
