,time,qpos,qvel,qacc,ctrl
0,0.0,[0. 0.],[0. 0.],[  -3.76516839 -205.40542977],[-0.29162796 -0.23469246]
1,0.001,[-3.76516839e-06 -2.05405430e-04],[-0.00376517 -0.20540543],[  -3.62652404 -196.54704162],[-0.29181992 -0.22438768]
2,0.002,[-1.11568608e-05 -6.07357901e-04],[-0.00739169 -0.40195247],[  -3.4931212  -188.02205655],[-0.29201812 -0.21448747]
3,0.003,[-2.20416745e-05 -1.19733243e-03],[-0.01088481 -0.58997453],[  -3.36476397 -179.81820523],[-0.29222233 -0.20497685]
4,0.004,[-3.62912520e-05 -1.96712516e-03],[-0.01424958 -0.76979273],[  -3.24126242 -171.92365888],[-0.2924323  -0.19584143]
5,0.005,[-5.37820921e-05 -2.90884155e-03],[-0.01749084 -0.94171639],[  -3.12243276 -164.32701661],[-0.2926478  -0.18706731]
6,0.006,[-7.43953648e-05 -4.01488496e-03],[-0.02061327 -1.10604341],[  -3.00809747 -157.01729252],[-0.2928686  -0.17864111]
7,0.007,[-9.80167351e-05 -5.27794566e-03],[-0.02362137 -1.2630607 ],[  -2.89808529 -149.98390269],[-0.2930945  -0.17054997]
8,0.008,[-0.00012454 -0.00669099],[-0.02651946 -1.4130446 ],[  -2.79223124 -143.21665217],[-0.29332528 -0.16278146]
9,0.009000000000000001,[-0.00015385 -0.00824725],[-0.02931169 -1.55626126],[  -2.69037655 -136.70572193],[-0.29356075 -0.15532363]
10,0.010000000000000002,[-0.00018585 -0.00994022],[-0.03200206 -1.69296698],[  -2.59236853 -130.44165605],[-0.29380072 -0.14816498]
11,0.011000000000000003,[-0.00022044 -0.01176363],[-0.03459443 -1.82340863],[  -2.49806047 -124.41534905],[-0.29404501 -0.14129442]
12,0.012000000000000004,[-0.00025754 -0.01371145],[-0.03709249 -1.94782398],[  -2.4073115  -118.61803338],[-0.29429343 -0.13470126]
13,0.013000000000000005,[-0.00029704 -0.01577789],[-0.0394998  -2.06644202],[  -2.31998638 -113.04126733],[-0.29454582 -0.12837521]
14,0.014000000000000005,[-0.00033886 -0.01795738],[-0.04181979 -2.17948328],[  -2.23595537 -107.67692307],[-0.29480203 -0.12230637]
15,0.015000000000000006,[-0.00038291 -0.02024454],[-0.04405575 -2.28716021],[  -2.155094   -102.51717511],[-0.29506188 -0.11648518]
16,0.016000000000000007,[-0.00042912 -0.02263421],[-0.04621084 -2.38967738],[ -2.07728291 -97.55448909],[-0.29532523 -0.11090246]
17,0.017000000000000008,[-0.00047741 -0.02512145],[-0.04828812 -2.48723187],[ -2.00240766 -92.78161081],[-0.29559193 -0.10554934]
18,0.01800000000000001,[-0.0005277  -0.02770146],[-0.05029053 -2.58001348],[ -1.93035849 -88.19155576],[-0.29586185 -0.10041728]
19,0.01900000000000001,[-0.00057992 -0.03036966],[-0.05222089 -2.66820504],[ -1.86103017 -83.77759887],[-0.29613485 -0.09549808]
20,0.02000000000000001,[-0.000634   -0.03312165],[-0.05408192 -2.75198264],[ -1.79432179 -79.53326468],[-0.29641079 -0.0907838 ]
21,0.02100000000000001,[-0.00068988 -0.03595316],[-0.05587624 -2.8315159 ],[ -1.73013658 -75.45231785],[-0.29668956 -0.08626681]
22,0.022000000000000013,[-0.00074749 -0.03886013],[-0.05760638 -2.90696822],[ -1.66838171 -71.52875397],[-0.29697104 -0.08193977]
23,0.023000000000000013,[-0.00080676 -0.04183863],[-0.05927476 -2.97849697],[ -1.60896816 -67.75679081],[-0.2972551  -0.07779559]
24,0.024000000000000014,[-0.00086765 -0.04488488],[-0.06088373 -3.04625376],[ -1.55181048 -64.13085975],[-0.29754164 -0.07382745]
25,0.025000000000000015,[-0.00093008 -0.04799527],[-0.06243554 -3.11038462],[ -1.49682669 -60.64559771],[-0.29783055 -0.07002876]
26,0.026000000000000016,[-0.00099401 -0.0511663 ],[-0.06393236 -3.17103022],[ -1.44393806 -57.29583923],[-0.29812172 -0.06639321]
27,0.027000000000000017,[-0.00105939 -0.05439462],[-0.0653763  -3.22832606],[ -1.39306903 -54.07660896],[-0.29841506 -0.06291467]
28,0.028000000000000018,[-0.00112616 -0.05767703],[-0.06676937 -3.28240267],[ -1.34414701 -50.98311444],[-0.29871047 -0.05958728]
29,0.02900000000000002,[-0.00119427 -0.06101041],[-0.06811352 -3.33338578],[ -1.29710224 -48.01073909],[-0.29900785 -0.05640537]
30,0.03000000000000002,[-0.00126368 -0.06439181],[-0.06941062 -3.38139652],[ -1.25186771 -45.15503559],[-0.29930712 -0.05336347]
31,0.03100000000000002,[-0.00133435 -0.06781836],[-0.07066249 -3.42655156],[ -1.20837896 -42.41171939],[-0.29960819 -0.05045633]
32,0.03200000000000002,[-0.00140622 -0.07128732],[-0.07187087 -3.46896328],[ -1.16657405 -39.77666264],[-0.29991097 -0.04767887]
33,0.03300000000000002,[-0.00147925 -0.07479606],[-0.07303744 -3.50873994],[ -1.12639335 -37.2458882 ],[-0.30021539 -0.04502621]
34,0.03400000000000002,[-0.00155342 -0.07834205],[-0.07416383 -3.54598583],[ -1.08777952 -34.81556402],[-0.30052136 -0.04249364]
35,0.035000000000000024,[-0.00162867 -0.08192285],[-0.07525161 -3.58080139],[ -1.05067734 -32.48199765],[-0.30082882 -0.04007664]
36,0.036000000000000025,[-0.00170497 -0.08553613],[-0.07630229 -3.61328339],[ -1.01503365 -30.24163104],[-0.30113769 -0.03777083]
37,0.037000000000000026,[-0.00178229 -0.08917966],[-0.07731733 -3.64352502],[ -0.98079726 -28.09103551],[-0.3014479  -0.03557199]
38,0.03800000000000003,[-0.00186059 -0.09285127],[-0.07829812 -3.67161606],[ -0.94791885 -26.0269069 ],[-0.30175938 -0.03347608]
39,0.03900000000000003,[-0.00193983 -0.09654892],[-0.07924604 -3.69764296],[ -0.91635088 -24.046061  ],[-0.30207206 -0.03147918]
40,0.04000000000000003,[-0.00202    -0.10027061],[-0.08016239 -3.72168902],[ -0.88604754 -22.14542906],[-0.30238589 -0.02957753]
41,0.04100000000000003,[-0.00210104 -0.10401444],[-0.08104844 -3.74383445],[ -0.85696466 -20.32205353],[-0.30270081 -0.02776749]
42,0.04200000000000003,[-0.00218295 -0.1077786 ],[-0.0819054  -3.76415651],[ -0.82905963 -18.57308396],[-0.30301675 -0.02604558]
43,0.04300000000000003,[-0.00226568 -0.11156133],[-0.08273446 -3.78272959],[ -0.80229137 -16.89577305],[-0.30333366 -0.02440842]
44,0.04400000000000003,[-0.00234922 -0.11536095],[-0.08353676 -3.79962536],[ -0.77662021 -15.28747289],[-0.30365148 -0.02285276]
45,0.04500000000000003,[-0.00243353 -0.11917586],[-0.08431338 -3.81491284],[ -0.7520079 -13.7456313],[-0.30397016 -0.02137548]
46,0.046000000000000034,[-0.0025186  -0.12300452],[-0.08506538 -3.82865847],[ -0.7284175  -12.26778834],[-0.30428965 -0.01997357]
47,0.047000000000000035,[-0.00260439 -0.12684545],[-0.0857938  -3.84092626],[ -0.70581334 -10.85157294],[-0.3046099  -0.01864412]
48,0.048000000000000036,[-0.00269089 -0.13069723],[-0.08649961 -3.85177783],[-0.684161   -9.49469967],[-0.30493087 -0.01738434]
49,0.04900000000000004,[-0.00277808 -0.1345585 ],[-0.08718378 -3.86127253],[-0.66342722 -8.19496565],[-0.3052525  -0.01619153]
50,0.05000000000000004,[-0.00286592 -0.13842797],[-0.0878472 -3.8694675],[-0.64357989 -6.95024753],[-0.30557475 -0.01506309]
51,0.05100000000000004,[-0.00295441 -0.14230439],[-0.08849078 -3.87641774],[-0.62458796 -5.75849863],[-0.30589758 -0.01399653]
52,0.05200000000000004,[-0.00304353 -0.14618656],[-0.08911537 -3.88217624],[-0.60642148 -4.61774617],[-0.30622095 -0.01298944]
53,0.05300000000000004,[-0.00313325 -0.15007336],[-0.08972179 -3.88679399],[-0.58905145 -3.52608859],[-0.30654482 -0.01203949]
54,0.05400000000000004,[-0.00322356 -0.15396368],[-0.09031084 -3.89032008],[-0.5724499  -2.48169303],[-0.30686915 -0.01114445]
55,0.05500000000000004,[-0.00331445 -0.15785648],[-0.09088329 -3.89280177],[-0.55658977 -1.48279281],[-0.3071939  -0.01030218]
56,0.05600000000000004,[-0.00340589 -0.16175076],[-0.09143988 -3.89428456],[-0.5414449  -0.52768508],[-0.30751903 -0.00951059]
57,0.057000000000000044,[-0.00349787 -0.16564557],[-0.09198133 -3.89481225],[-0.52699003  0.38527147],[-0.30784452 -0.00876768]
58,0.058000000000000045,[-0.00359038 -0.16954   ],[-0.09250832 -3.89442698],[-0.51320072  1.25765883],[-0.30817032 -0.00807154]
59,0.059000000000000045,[-0.0036834  -0.17343317],[-0.09302152 -3.89316932],[-0.50005334  2.09100177],[-0.30849641 -0.00742031]
60,0.060000000000000046,[-0.00377692 -0.17732425],[-0.09352157 -3.89107832],[-0.48752508  2.88676988],[-0.30882275 -0.00681222]
61,0.06100000000000005,[-0.00387093 -0.18121244],[-0.0940091  -3.88819155],[-0.47559384  3.64637959],[-0.30914931 -0.00624552]
62,0.06200000000000005,[-0.00396541 -0.18509699],[-0.09448469 -3.88454517],[-0.46423829  4.37119603],[-0.30947607 -0.00571859]
63,0.06300000000000004,[-0.00406036 -0.18897716],[-0.09494893 -3.88017397],[-0.45343779  5.06253484],[-0.30980299 -0.00522981]
64,0.06400000000000004,[-0.00415576 -0.19285227],[-0.09540237 -3.87511143],[-0.4431724   5.72166399],[-0.31013006 -0.00477767]
65,0.06500000000000004,[-0.00425161 -0.19672166],[-0.09584554 -3.86938977],[-0.43342283  6.34980545],[-0.31045723 -0.00436067]
66,0.06600000000000004,[-0.00434789 -0.2005847 ],[-0.09627896 -3.86303997],[-0.42417043  6.94813682],[-0.31078449 -0.0039774 ]
67,0.06700000000000005,[-0.00444459 -0.20444079],[-0.09670313 -3.85609183],[-0.41539717  7.51779293],[-0.31111182 -0.00362649]
68,0.06800000000000005,[-0.00454171 -0.20828937],[-0.09711853 -3.84857404],[-0.40708563  8.05986736],[-0.31143918 -0.00330662]
