,time,qpos,qvel,qacc,ctrl
0,0.0,[0. 0.],[0. 0.],[  -4.30098924 -331.37098567],[ 0.48350165 -0.39358758]
1,0.001,[-4.30098924e-06 -3.31370986e-04],[-0.00430099 -0.33137099],[  -4.09690879 -318.41762825],[ 0.48394423 -0.37853313]
2,0.002,[-1.26988873e-05 -9.81159600e-04],[-0.0083979  -0.64978861],[  -3.90031376 -305.940589  ],[ 0.48437691 -0.36405981]
3,0.003,[-2.49970991e-05 -1.93688880e-03],[-0.01229821 -0.9557292 ],[  -3.71091579 -293.92233133],[ 0.48480004 -0.35014629]
4,0.004,[-4.10062266e-05 -3.18654034e-03],[-0.01600913 -1.24965153],[  -3.52843166 -282.34592516],[ 0.48521395 -0.33677202]
5,0.005,[-6.05437859e-05 -4.71853780e-03],[-0.01953756 -1.53199746],[  -3.35258465 -271.19503805],[ 0.48561899 -0.32391721]
6,0.006,[-8.34339298e-05 -6.52173029e-03],[-0.02289014 -1.8031925 ],[  -3.18310557 -260.45392406],[ 0.48601546 -0.3115628 ]
7,0.007,[-0.00010951 -0.00858538],[-0.02607325 -2.06364642],[  -3.01973353 -250.10741088],[ 0.48640366 -0.29969044]
8,0.008,[-0.0001386  -0.01089913],[-0.02909298 -2.31375383],[  -2.86221654 -240.14088561],[ 0.48678388 -0.28828246]
9,0.009000000000000001,[-0.00017056 -0.01345303],[-0.0319552  -2.55389472],[  -2.71031188 -230.54027946],[ 0.4871564  -0.27732184]
10,0.010000000000000002,[-0.00020522 -0.01623746],[-0.03466551 -2.784435  ],[  -2.56378629 -221.29205176],[ 0.48752149 -0.26679219]
11,0.011000000000000003,[-0.00024245 -0.01924319],[-0.0372293  -3.00572705],[  -2.42241607 -212.38317347],[ 0.4878794  -0.25667772]
12,0.012000000000000004,[-0.0002821 -0.0224613],[-0.03965171 -3.21811022],[  -2.2859871  -203.80111039],[ 0.48823036 -0.24696325]
13,0.013000000000000005,[-0.00032404 -0.02588321],[-0.0419377  -3.42191133],[  -2.15429472 -195.53380628],[ 0.48857463 -0.23763413]
14,0.014000000000000005,[-0.00036813 -0.02950065],[-0.044092   -3.61744514],[  -2.02714354 -187.56966592],[ 0.48891241 -0.22867626]
15,0.015000000000000006,[-0.00041425 -0.03330567],[-0.04611914 -3.80501481],[  -1.90434729 -179.89753839],[ 0.48924392 -0.22007608]
16,0.016000000000000007,[-0.00046227 -0.03729058],[-0.04802349 -3.98491234],[  -1.78572848 -172.50670054],[ 0.48956937 -0.2118205 ]
17,0.017000000000000008,[-0.00051208 -0.041448  ],[-0.04980921 -4.15741904],[  -1.67111817 -165.38684073],[ 0.48988896 -0.20389693]
18,0.01800000000000001,[-0.00056356 -0.04577081],[-0.05148033 -4.32280588],[  -1.56035562 -158.52804296],[ 0.49020287 -0.19629322]
19,0.01900000000000001,[-0.0006166  -0.05025214],[-0.05304069 -4.48133393],[  -1.45328797 -151.9207714 ],[ 0.49051129 -0.18899768]
20,0.02000000000000001,[-0.0006711  -0.05488539],[-0.05449398 -4.6332547 ],[  -1.34976991 -145.55585533],[ 0.49081438 -0.18199905]
21,0.02100000000000001,[-0.00072694 -0.05966421],[-0.05584375 -4.77881055],[  -1.24966332 -139.42447457],[ 0.49111233 -0.17528647]
22,0.022000000000000013,[-0.00078404 -0.06458244],[-0.05709341 -4.91823503],[  -1.15283695 -133.51814537],[ 0.49140527 -0.16884948]
23,0.023000000000000013,[-0.00084228 -0.06963419],[-0.05824625 -5.05175317],[  -1.05916603 -127.82870679],[ 0.49169338 -0.16267799]
24,0.024000000000000014,[-0.00090159 -0.07481378],[-0.05930541 -5.17958188],[  -0.96853201 -122.34830759],[ 0.4919768  -0.15676229]
25,0.025000000000000015,[-0.00096186 -0.08011571],[-0.06027394 -5.30193019],[  -0.88082216 -117.0693936 ],[ 0.49225567 -0.151093  ]
