,time,qpos,qvel,qacc,ctrl
0,0.0,[0. 0.],[0. 0.],[  7.04072466 433.53587613],[0.128 0.503]
1,0.001,[7.04072466e-06 4.33535876e-04],[0.00704072 0.43353588],[  6.74632408 414.80796313],[0.12771455 0.48122501]
2,0.002,[2.08277734e-05 1.28187972e-03],[0.01378705 0.84834384],[  6.46296398 396.78300015],[0.12744307 0.46030316]
3,0.003,[4.10777861e-05 2.52700655e-03],[0.02025001 1.24512684],[  6.19020733 379.43494336],[0.12718505 0.44020291]
4,0.004,[6.75180062e-05 4.15156834e-03],[0.02644022 1.62456178],[  5.92762192 362.7386278 ],[0.12693999 0.42089388]
5,0.005,[9.98858481e-05 6.13886875e-03],[0.03236784 1.98730041],[  5.67478392 346.66976743],[0.12670739 0.40234682]
6,0.006,[0.00013793 0.00847284],[0.03804263 2.33397018],[  5.43128063 331.20494859],[0.1264868  0.38453358]
7,0.007,[0.0001814  0.01113801],[0.04347391 2.66517513],[  5.19671257 316.32161804],[0.12627778 0.36742704]
8,0.008,[0.00023007 0.01411951],[0.04867062 2.98149674],[  4.97069498 301.99806679],[0.12607989 0.3510011 ]
9,0.009000000000000001,[0.00028371 0.01740301],[0.05364131 3.28349481],[  4.75285882 288.21341055],[0.12589275 0.33523066]
10,0.010000000000000002,[0.00034211 0.02097471],[0.05839417 3.57170822],[  4.5428514  274.94756781],[0.12571595 0.3200915 ]
11,0.011000000000000003,[0.00040505 0.02482137],[0.06293702 3.84665579],[  4.34033666 262.18123588],[0.12554914 0.30556036]
12,0.012000000000000004,[0.00047232 0.02893021],[0.06727736 4.10883703],[  4.14499526 249.89586578],[0.12539195 0.2916148 ]
13,0.013000000000000005,[0.00054375 0.03328894],[0.07142236 4.35873289],[  3.95652436 238.07363626],[0.12524404 0.27823323]
14,0.014000000000000005,[0.00061912 0.03788575],[0.07537888 4.59680653],[  3.7746373  226.69742727],[0.1251051  0.26539487]
15,0.015000000000000006,[0.00069828 0.04270925],[0.07915352 4.82350395],[  3.59906317 215.75079342],[0.12497481 0.25307968]
