,time,qpos,qvel,qacc,ctrl
0,0.0,[0. 0.],[0. 0.],[  -3.35419856 -213.75963368],[ 0.    -0.249]
1,0.001,[-3.35419856e-06 -2.13759634e-04],[-0.0033542  -0.21375963],[  -3.2067506  -204.36525937],[ 1.95725291e-05 -2.38074884e-01]
2,0.002,[-9.91514773e-06 -6.31884527e-04],[-0.00656095 -0.41812489],[  -3.06486437 -195.32461511],[ 3.21077379e-05 -2.27578647e-01]
3,0.003,[-1.95409613e-05 -1.24533403e-03],[-0.00962581 -0.61344951],[  -2.9283318  -186.62468062],[ 3.78695848e-05 -2.17495413e-01]
4,0.004,[-3.20951066e-05 -2.04540822e-03],[-0.01255415 -0.80007419],[  -2.79695111 -178.25290315],[ 3.71121605e-05 -2.07809885e-01]
5,0.005,[-4.74462030e-05 -3.02373532e-03],[-0.0153511  -0.97832709],[  -2.67052704 -170.19718434],[ 3.00799818e-05 -1.98507330e-01]
6,0.006,[-6.54678265e-05 -4.17225959e-03],[-0.01802162 -1.14852428],[  -2.548871   -162.44586659],[ 1.70082986e-05 -1.89573556e-01]
7,0.007,[-8.60383210e-05 -5.48322973e-03],[-0.02057049 -1.31097014],[  -2.43180108 -154.9877194 ],[-1.87659297e-06 -1.80994894e-01]
8,0.008,[-0.00010904 -0.00694919],[-0.0230023  -1.46595786],[  -2.31914206 -147.81192554],[-2.63570332e-05 -1.72758177e-01]
9,0.009000000000000001,[-0.00013436 -0.00856296],[-0.02532144 -1.61376979],[  -2.21072539 -140.90806729],[-5.62236817e-05 -1.64850722e-01]
10,0.010000000000000002,[-0.00016189 -0.01031764],[-0.02753216 -1.75467786],[  -2.10638903 -134.26611273],[-9.12752022e-05 -1.57260314e-01]
11,0.011000000000000003,[-0.00019153 -0.01220658],[-0.02963855 -1.88894397],[  -2.00597733 -127.8764023 ],[-1.31317952e-04 -1.49975186e-01]
12,0.012000000000000004,[-0.00022318 -0.0142234 ],[-0.03164453 -2.01682037],[  -1.90934091 -121.72963549],[-0.00017617 -0.142984  ]
13,0.013000000000000005,[-0.00025673 -0.01636195],[-0.03355387 -2.13855001],[  -1.81633643 -115.81685789],[-0.00022564 -0.13627585]
14,0.014000000000000005,[-0.0002921  -0.01861632],[-0.03537021 -2.25436686],[  -1.72682641 -110.1294485 ],[-0.00027957 -0.1298402 ]
15,0.015000000000000006,[-0.0003292  -0.02098081],[-0.03709703 -2.36449631],[  -1.64067906 -104.65910736],[-0.00033778 -0.12366694]
16,0.016000000000000007,[-0.00036794 -0.02344997],[-0.03873771 -2.46915542],[ -1.55776801 -99.39784359],[-0.00040012 -0.1177463 ]
17,0.017000000000000008,[-0.00040823 -0.02601852],[-0.04029548 -2.56855326],[ -1.47797215 -94.33796372],[-0.00046644 -0.11206888]
18,0.01800000000000001,[-0.00045001 -0.02868141],[-0.04177345 -2.66289123],[ -1.40117541 -89.47206048],[-0.00053658 -0.10662562]
19,0.01900000000000001,[-0.00049318 -0.03143378],[-0.04317463 -2.75236329],[ -1.32726651 -84.79300185],[-0.00061041 -0.10140779]
20,0.02000000000000001,[-0.00053768 -0.03427093],[-0.04450189 -2.83715629],[ -1.25613879 -80.29392061],[-0.00068779 -0.096407  ]
21,0.02100000000000001,[-0.00058344 -0.03718838],[-0.04575803 -2.91745021],[ -1.18768999 -75.9682042 ],[-0.00076858 -0.09161514]
22,0.022000000000000013,[-0.00063039 -0.0401818 ],[-0.04694572 -2.99341841],[ -1.12182206 -71.80948492],[-0.00085266 -0.08702441]
