,time,qpos,qvel,qacc,ctrl
0,0.0,[0. 0.],[0. 0.],[  1.85614003 120.72157504],[-0.0205282   0.14094582]
1,0.001,[1.85614003e-06 1.20721575e-04],[0.00185614 0.12072158],[  1.78903417 116.53925548],[-0.02132399  0.13609649]
2,0.002,[5.50131423e-06 3.57982406e-04],[0.00364517 0.23726083],[  1.72428775 112.50698224],[-0.0221169   0.13143156]
3,0.003,[1.08707762e-05 7.07750218e-04],[0.00536946 0.34976781],[  1.66181405 108.61928163],[-0.02290705  0.12694431]
4,0.004,[1.79020522e-05 1.16613731e-03],[0.00703128 0.45838709],[  1.60152925 104.87087791],[-0.02369454  0.1226283 ]
5,0.005,[2.65348574e-05 1.72939529e-03],[0.00863281 0.56325797],[  1.54335235 101.25668668],[-0.02447948  0.11847729]
6,0.006,[3.67110150e-05 2.39390994e-03],[0.01017616 0.66451466],[ 1.48720515 97.77180841],[-0.02526195  0.11448531]
7,0.007,[4.83743778e-05 3.15619641e-03],[0.01166336 0.76228647],[ 1.43301221 94.41152209],[-0.02604205  0.11064657]
8,0.008,[6.14707527e-05 4.01289440e-03],[0.01309637 0.85669799],[ 1.38070074 91.17127899],[-0.02681988  0.10695551]
9,0.009000000000000001,[7.59478284e-05 4.96076367e-03],[0.01447708 0.94786927],[ 1.33020061 88.04669671],[-0.02759551  0.10340677]
10,0.010000000000000002,[9.17551047e-05 5.99667963e-03],[0.01580728 1.03591597],[ 1.2814442  85.03355328],[-0.02836904  0.09999519]
11,0.011000000000000003,[0.00010884 0.00711763],[0.01708872 1.12094952],[ 1.2343664  82.12778142],[-0.02914055  0.09671578]
12,0.012000000000000004,[0.00012717 0.00832071],[0.01832309 1.2030773 ],[ 1.18890448 79.32546308],[-0.0299101   0.09356376]
13,0.013000000000000005,[0.00014668 0.00960311],[0.01951199 1.28240276],[ 1.14499805 76.62282405],[-0.03067778  0.09053451]
14,0.014000000000000005,[0.00016734 0.01096213],[0.02065699 1.35902559],[ 1.10258901 74.01622875],[-0.03144365  0.08762358]
15,0.015000000000000006,[0.0001891  0.01239518],[0.02175958 1.43304182],[ 1.0616214 71.5021752],[-0.03220779  0.08482668]
