,time,qpos,qvel,qacc,ctrl
0,0.0,[0. 0.],[0. 0.],[ 1.76514027 83.94284104],[0.241 0.094]
1,0.001,[1.76514027e-06 8.39428410e-05],[0.00176514 0.08394284],[ 1.71395978 80.67900705],[0.24101819 0.09020476]
2,0.002,[5.24424031e-06 2.48564689e-04],[0.0034791  0.16462185],[ 1.66467448 77.53568976],[0.24103866 0.08655655]
3,0.003,[1.03880148e-05 4.90722227e-04],[0.00514377 0.24215754],[ 1.61721477 74.50847603],[0.24106131 0.08304997]
4,0.004,[1.71490041e-05 8.07388241e-04],[0.00676099 0.31666601],[ 1.57151346 71.59311336],[0.24108606 0.07967983]
5,0.005,[2.54815069e-05 1.19564737e-03],[0.0083325  0.38825913],[ 1.52750579 68.78550423],[0.24111282 0.07644112]
6,0.006,[3.53415154e-05 1.65269200e-03],[0.00986001 0.45704463],[ 1.4851293  66.08170063],[0.24114152 0.073329  ]
7,0.007,[4.66866533e-05 2.17581833e-03],[0.01134514 0.52312633],[ 1.44432381 63.47789875],[0.24117208 0.07033883]
8,0.008,[5.94761149e-05 2.76242256e-03],[0.01278946 0.58660423],[ 1.4050313  60.97043384],[0.24120443 0.06746613]
9,0.009000000000000001,[7.36706079e-05 3.40999723e-03],[0.01419449 0.64757466],[ 1.36719589 58.55577519],[0.24123848 0.06470659]
10,0.010000000000000002,[8.92322967e-05 4.11612767e-03],[0.01556169 0.70613044],[ 1.33076373 56.23052133],[0.24127417 0.06205604]
11,0.011000000000000003,[0.00010612 0.00487849],[0.01689245 0.76236096],[ 1.29568298 53.99139535],[0.24131145 0.05951048]
12,0.012000000000000004,[0.00012431 0.00569484],[0.01818814 0.81635236],[ 1.2619037  51.83524036],[0.24135023 0.05706606]
13,0.013000000000000005,[0.00014376 0.00656303],[0.01945004 0.8681876 ],[ 1.2293778  49.75901517],[0.24139046 0.05471905]
14,0.014000000000000005,[0.00016444 0.00748098],[0.02067942 0.91794661],[ 1.19805898 47.75979007],[0.24143208 0.05246587]
15,0.015000000000000006,[0.00018632 0.00844668],[0.02187748 0.9657064 ],[ 1.16790267 45.83474272],[0.24147504 0.05030308]
16,0.016000000000000007,[0.00020937 0.00945822],[0.02304538 1.01154114],[ 1.13886593 43.98115428],[0.24151927 0.04822734]
17,0.017000000000000008,[0.00023355 0.01051375],[0.02418424 1.0555223 ],[ 1.11090746 42.19640557],[0.24156473 0.04623546]
18,0.01800000000000001,[0.00025884 0.01161146],[0.02529515 1.0977187 ],[ 1.08398748 40.47797347],[0.24161136 0.04432436]
19,0.01900000000000001,[0.00028522 0.01274966],[0.02637914 1.13819668],[ 1.0580677  38.82342735],[0.24165912 0.04249105]
20,0.02000000000000001,[0.00031266 0.01392668],[0.02743721 1.17702011],[ 1.03311125 37.23042569],[0.24170795 0.04073267]
21,0.02100000000000001,[0.00034113 0.01514093],[0.02847032 1.21425053],[ 1.00908266 35.69671284],[0.24175781 0.03904647]
22,0.022000000000000013,[0.00037061 0.01639088],[0.0294794  1.24994724],[ 0.98594777 34.22011579],[0.24180866 0.03742979]
23,0.023000000000000013,[0.00040108 0.01767505],[0.03046535 1.28416736],[ 0.96367368 32.7985412 ],[0.24186046 0.03588007]
24,0.024000000000000014,[0.00043251 0.01899201],[0.03142902 1.3169659 ],[ 0.94222876 31.42997245],[0.24191316 0.03439484]
25,0.025000000000000015,[0.00046488 0.02034041],[0.03237125 1.34839587],[ 0.92158252 30.11246678],[0.24196672 0.03297172]
26,0.026000000000000016,[0.00049817 0.02171892],[0.03329283 1.37850834],[ 0.90170562 28.84415263],[0.24202111 0.03160843]
27,0.027000000000000017,[0.00053236 0.02312627],[0.03419454 1.40735249],[ 0.88256981 27.62322698],[0.24207628 0.03030275]
28,0.028000000000000018,[0.00056744 0.02456124],[0.03507711 1.43497572],[ 0.86414791 26.44795283],[0.24213222 0.02905257]
29,0.02900000000000002,[0.00060338 0.02602267],[0.03594126 1.46142367],[ 0.84641373 25.31665681],[0.24218887 0.02785583]
30,0.03000000000000002,[0.00064017 0.02750941],[0.03678767 1.48674033],[ 0.82934206 24.22772679],[0.24224621 0.02671056]
