id,time,qpos,qvel,qacc,ctrl
0,0.002,[8.09574612e-06 6.47659690e-05],[0.00404787 0.03238298],[ 2.02393653 16.19149225],[ 0. 10.]
1,0.004,[2.43056672e-05 1.94331054e-04],[0.00810496 0.06478254],[ 2.02854374 16.19977904],[0.04999917 9.99998   ]
2,0.006,[4.86472565e-05 3.88720933e-04],[0.01217079 0.09719494],[ 2.03291705 16.20619845],[0.09999333 9.99992   ]
3,0.008,[8.11370680e-05 6.47953804e-04],[0.01624491 0.12961644],[ 2.03705556 16.21074795],[0.1499775 9.99982  ]
4,0.01,[0.00012179 0.00097204],[0.02032682 0.16204328],[ 2.04095822 16.21342478],[0.19994667 9.99968   ]
5,0.012,[0.00017062 0.00136098],[0.02441607 0.19447174],[ 2.0446238  16.21422597],[0.24989585 9.9995    ]
6,0.014,[0.00022765 0.00181478],[0.02851217 0.22689803],[ 2.04805094 16.21314831],[0.29982003 9.99928001]
7,0.016,[0.00029288 0.00233342],[0.03261465 0.25931841],[ 2.05123812 16.21018838],[0.34971424 9.99902002]
8,0.018000000000000002,[0.00036632 0.00291687],[0.03672302 0.2917291 ],[ 2.05418365 16.20534253],[0.39957347 9.99872003]
9,0.020000000000000004,[0.000448   0.00356513],[0.04083679 0.32412631],[ 2.0568857 16.1986069],[0.44939275 9.99838004]
10,0.022000000000000006,[0.00053791 0.00427814],[0.04495547 0.35650626],[ 2.05934229 16.18997739],[0.49916708 9.99800007]
11,0.024000000000000007,[0.00063606 0.00505587],[0.04907857 0.38886516],[ 2.06155128 16.17944973],[0.5488915 9.9975801]
12,0.02600000000000001,[0.00074248 0.00589827],[0.05320559 0.4211992 ],[ 2.06351039 16.16701943],[0.59856104 9.99712014]
13,0.02800000000000001,[0.00085715 0.00680528],[0.05733603 0.45350457],[ 2.06521721 16.15268182],[0.64817071 9.99662019]
14,0.030000000000000013,[0.00098009 0.00777683],[0.06146937 0.48577743],[ 2.06666917 16.13643202],[0.69771557 9.99608026]
15,0.032000000000000015,[0.0011113  0.00881286],[0.06560509 0.51801396],[ 2.06786357 16.11826501],[0.74719066 9.99550034]
16,0.034000000000000016,[0.00125078 0.00991328],[0.06974269 0.55021031],[ 2.06879756 16.09817557],[0.79659103 9.99488044]
17,0.03600000000000002,[0.00139854 0.01107801],[0.07388163 0.58236263],[ 2.0694682  16.07615837],[0.84591175 9.99422056]
18,0.03800000000000002,[0.00155459 0.01230694],[0.07802137 0.61446704],[ 2.06987237 16.05220789],[0.89514787 9.9935207 ]
19,0.04000000000000002,[0.00171891 0.01359998],[0.08216138 0.64651968],[ 2.07000689 16.02631853],[0.94429447 9.99278087]
20,0.04200000000000002,[0.00189151 0.01495701],[0.08630112 0.67851665],[ 2.0698684  15.99848454],[0.99334665 9.99200107]
21,0.044000000000000025,[0.00207239 0.01637792],[0.09044003 0.71045405],[ 2.06945349 15.9687001 ],[1.0422995 9.9911813]
22,0.04600000000000003,[0.00226155 0.01786258],[0.09457755 0.74232797],[ 2.0687586  15.93695928],[1.09114812 9.99032156]
23,0.04800000000000003,[0.00245897 0.01941085],[0.09871311 0.77413448],[ 2.06778009 15.90325612],[1.13988762 9.98942187]
24,0.05000000000000003,[0.00266467 0.02102259],[0.10284613 0.80586965],[ 2.06651423 15.86758458],[1.18851313 9.98848221]
25,0.05200000000000003,[0.00287862 0.02269764],[0.10697605 0.83752953],[ 2.0649572 15.8299386],[1.2370198 9.9875026]
26,0.054000000000000034,[0.00310082 0.02443586],[0.11110226 0.86911015],[ 2.06310509 15.79031213],[1.28540276 9.98648305]
27,0.056000000000000036,[0.00333127 0.02623708],[0.11522417 0.90060755],[ 2.06095393 15.74869911],[1.33365718 9.98542354]
28,0.05800000000000004,[0.00356995 0.02810112],[0.11934117 0.93201774],[ 2.05849969 15.70509353],[1.38177824 9.9843241 ]
29,0.06000000000000004,[0.00381686 0.03002779],[0.12345264 0.96333672],[ 2.05573828 15.65948941],[1.42976113 9.98318471]
30,0.06200000000000004,[0.00407197 0.03201691],[0.12755797 0.99456048],[ 2.05266554 15.61188088],[1.47760103 9.9820054 ]
31,0.06400000000000004,[0.00433529 0.03406828],[0.13165653 1.025685  ],[ 2.04927731 15.56226215],[1.52529318 9.98078616]
32,0.06600000000000004,[0.00460678 0.03618169],[0.13574767 1.05670626],[ 2.04556937 15.51062757],[1.5728328  9.97952699]
33,0.06800000000000005,[0.00488644 0.03835693],[0.13983074 1.0876202 ],[ 2.04153748 15.45697164],[1.62021514 9.9782279 ]
34,0.07000000000000005,[0.00517425 0.04059378],[0.1439051  1.11842278],[ 2.03717739 15.40128904],[1.66743546 9.97688891]
35,0.07200000000000005,[0.0054702 0.042892 ],[0.14797007 1.14910993],[ 2.03248485 15.34357464],[1.71448904 9.97551   ]
36,0.07400000000000005,[0.00577425 0.04525135],[0.15202498 1.17967757],[ 2.02745563 15.28382358],[1.76137117 9.9740912 ]
37,0.07600000000000005,[0.00608638 0.0476716 ],[0.15606915 1.21012164],[ 2.02208548 15.22203123],[1.80807716 9.97263249]
38,0.07800000000000006,[0.00640659 0.05015247],[0.16010189 1.24043802],[ 2.0163702  15.15819326],[1.85460235 9.9711339 ]
39,0.08000000000000006,[0.00673483 0.05269372],[0.1641225  1.27062263],[ 2.01030563 15.09230568],[1.90094208 9.96959542]
40,0.08200000000000006,[0.00707109 0.05529506],[0.16813028 1.30067136],[ 2.00388766 15.02436481],[1.94709171 9.96801706]
41,0.08400000000000006,[0.00741534 0.05795622],[0.1721245 1.3305801],[ 1.99711221 14.9543674 ],[1.99304664 9.96639883]
42,0.08600000000000006,[0.00776755 0.06067691],[0.17610445 1.36034472],[ 1.9899753  14.88231059],[2.03880227 9.96474074]
43,0.08800000000000006,[0.00812769 0.06345683],[0.1800694 1.3899611],[ 1.98247302 14.80819195],[2.08435401 9.96304279]
44,0.09000000000000007,[0.00849573 0.06629568],[0.1840186  1.41942512],[ 1.97460155 14.73200956],[2.12969733 9.96130498]
45,0.09200000000000007,[0.00887163 0.06919315],[0.18795131 1.44873265],[ 1.96635717 14.65376198],[2.17482767 9.95952733]
46,0.09400000000000007,[0.00925536 0.07214891],[0.19186679 1.47787954],[ 1.95773628 14.57344832],[2.21974053 9.95770984]
47,0.09600000000000007,[0.00964689 0.07516263],[0.19576426 1.50686168],[ 1.94873541 14.49106828],[2.26443143 9.95585252]
48,0.09800000000000007,[0.01004618 0.07823398],[0.19964296 1.53567492],[ 1.93935123 14.40662214],[2.30889588 9.95395538]
49,0.10000000000000007,[0.01045318 0.08136261],[0.20350212 1.56431515],[ 1.92958053 14.32011084],[2.35312944 9.95201842]
50,0.10200000000000008,[0.01086786 0.08454817],[0.20734096 1.59277822],[ 1.91942029 14.23153598],[2.39712769 9.95004165]
51,0.10400000000000008,[0.01129018 0.08779029],[0.2111587  1.62106002],[ 1.90886767 14.14089986],[2.44088623 9.94802509]
52,0.10600000000000008,[0.01172009 0.0910886 ],[0.21495454 1.64915643],[ 1.89791999 14.04820553],[2.48440069 9.94596873]
53,0.10800000000000008,[0.01215755 0.09444273],[0.21872769 1.67706334],[ 1.88657477 13.9534568 ],[2.52766671 9.94387258]
54,0.11000000000000008,[0.0126025  0.09785228],[0.22247735 1.70477666],[ 1.87482976 13.85665828],[2.57067996 9.94173667]
55,0.11200000000000009,[0.01305491 0.10131686],[0.22620271 1.73229229],[ 1.86268289 13.75781541],[2.61343614 9.93956098]
