,time,qpos,qvel,qacc,ctrl
0,0.0,[0. 0.],[0. 0.],[  -3.00329987 -210.70544091],[ 0.163 -0.248]
1,0.001,[-3.00329987e-06 -2.10705441e-04],[-0.0030033  -0.21070544],[  -2.86036352 -201.61227034],[ 0.16313509 -0.2374273 ]
2,0.002,[-8.86696327e-06 -6.23023152e-04],[-0.00586366 -0.41231771],[  -2.72279594 -192.86053409],[ 0.1632632  -0.22726894]
3,0.003,[-1.74534226e-05 -1.22820140e-03],[-0.00858646 -0.60517825],[  -2.5903964 -184.4376712],[ 0.16338458 -0.21750958]
4,0.004,[-2.86302784e-05 -2.01781731e-03],[-0.01117686 -0.78961592],[  -2.46297026 -176.3315718 ],[ 0.16349948 -0.20813446]
5,0.005,[-4.22701044e-05 -2.98376480e-03],[-0.01363983 -0.96594749],[  -2.34032911 -168.53056431],[ 0.16360813 -0.19912938]
6,0.006,[-5.82502595e-05 -4.11824286e-03],[-0.01598016 -1.13447805],[  -2.22229096 -161.02340228],[ 0.16371075 -0.19048064]
7,0.007,[-7.64527055e-05 -5.41374431e-03],[-0.01820245 -1.29550145],[  -2.10868025 -153.79925113],[ 0.16380757 -0.18217505]
8,0.008,[-9.67638319e-05 -6.86304502e-03],[-0.02031113 -1.44930071],[  -1.99932783 -146.84767479],[ 0.1638988  -0.17419989]
9,0.009000000000000001,[-0.00011907 -0.00845919],[-0.02231045 -1.59614838],[  -1.89407096 -140.15862241],[ 0.16398464 -0.16654294]
10,0.010000000000000002,[-0.00014328 -0.0101955 ],[-0.02420453 -1.736307  ],[  -1.79275315 -133.72241516],[ 0.16406528 -0.1591924 ]
11,0.011000000000000003,[-0.00016928 -0.01206553],[-0.02599728 -1.87002942],[  -1.69522405 -127.52973327],[ 0.16414092 -0.15213692]
12,0.012000000000000004,[-0.00019697 -0.01406309],[-0.0276925  -1.99755915],[  -1.60133934 -121.57160321],[ 0.16421172 -0.14536556]
13,0.013000000000000005,[-0.00022626 -0.01618222],[-0.02929384 -2.11913075],[  -1.51096048 -115.83938521],[ 0.16427786 -0.13886779]
14,0.014000000000000005,[-0.00025707 -0.01841719],[-0.0308048  -2.23497014],[  -1.42395462 -110.32476102],[ 0.16433951 -0.13263346]
15,0.015000000000000006,[-0.0002893  -0.02076248],[-0.03222876 -2.3452949 ],[  -1.34019433 -105.01972209],[ 0.16439684 -0.12665278]
16,0.016000000000000007,[-0.00032286 -0.0232128 ],[-0.03356895 -2.45031462],[ -1.25955743 -99.91655795],[ 0.16444998 -0.12091635]
17,0.017000000000000008,[-0.00035769 -0.02576303],[-0.03482851 -2.55023118],[ -1.18192683 -95.00784506],[ 0.16449909 -0.11541508]
18,0.01800000000000001,[-0.0003937  -0.02840827],[-0.03601044 -2.64523903],[ -1.10719024 -90.28643595],[ 0.16454432 -0.11014025]
19,0.01900000000000001,[-0.00043082 -0.0311438 ],[-0.03711763 -2.73552546],[ -1.03524005 -85.74544873],[ 0.1645858  -0.10508342]
20,0.02000000000000001,[-0.00046897 -0.03396507],[-0.03815287 -2.82127091],[ -0.96597309 -81.37825703],[ 0.16462366 -0.10023648]
21,0.02100000000000001,[-0.00050809 -0.03686772],[-0.03911884 -2.90264917],[ -0.89929044 -77.17848018],[ 0.16465803 -0.09559162]
22,0.022000000000000013,[-0.00054811 -0.03984754],[-0.04001813 -2.97982765],[ -0.83509725 -73.13997383],[ 0.16468903 -0.09114131]
23,0.023000000000000013,[-0.00058896 -0.04290051],[-0.04085323 -3.05296762],[ -0.77330256 -69.25682093],[ 0.16471679 -0.08687829]
24,0.024000000000000014,[-0.00063059 -0.04602273],[-0.04162653 -3.12222444],[ -0.7138191  -65.52332297],[ 0.1647414  -0.08279557]
25,0.025000000000000015,[-0.00067293 -0.04921048],[-0.04234035 -3.18774777],[ -0.65656314 -61.93399164],[ 0.164763   -0.07888642]
26,0.026000000000000016,[-0.00071593 -0.05246016],[-0.04299691 -3.24968176],[ -0.60145433 -58.48354079],[ 0.16478167 -0.07514433]
27,0.027000000000000017,[-0.00075953 -0.05576833],[-0.04359837 -3.3081653 ],[ -0.5484155  -55.16687866],[ 0.16479752 -0.07156307]
