id,time,qpos,qvel,qacc,ctrl
44,0.09000000000000007,[1.30120422e-05 2.70752222e-05],[0.0005554  0.00115261],[0.01804201 0.03724275],[0.18741336 0.        ]
45,0.09200000000000007,[1.41981974e-05 2.95358891e-05],[0.00059308 0.00123033],[0.01883889 0.03886282],[0.19573449 0.        ]
46,0.09400000000000007,[1.54629555e-05 3.21586001e-05],[0.00063238 0.00131136],[0.01965075 0.04051105],[0.20421613 0.        ]
47,0.09600000000000007,[1.68096232e-05 3.49500587e-05],[0.00067333 0.00139573],[0.0204774  0.04218691],[0.21285655 0.        ]
48,0.09800000000000007,[1.82415656e-05 3.79170768e-05],[0.00071597 0.00148351],[0.02131866 0.04388987],[0.221654 0.      ]
49,0.10000000000000007,[1.97622052e-05 4.10665723e-05],[0.00076032 0.00157475],[0.02217433 0.04561936],[0.23060669 0.        ]
50,0.10200000000000008,[2.13750217e-05 4.44055672e-05],[0.00080641 0.0016695 ],[0.02304419 0.04737483],[0.23971277 0.        ]
51,0.10400000000000008,[2.30835504e-05 4.79411848e-05],[0.00085426 0.00176781],[0.02392806 0.0491557 ],[0.2489704 0.       ]
52,0.10600000000000008,[2.4891382e-05 5.1680648e-05],[0.00090392 0.00186973],[0.02482572 0.05096139],[0.25837767 0.        ]
53,0.10800000000000008,[2.68021614e-05 5.56312765e-05],[0.00095539 0.00197531],[0.02573696 0.05279132],[0.26793267 0.        ]
54,0.11000000000000008,[2.88195871e-05 5.98004845e-05],[0.00100871 0.0020846 ],[0.02666157 0.05464488],[0.27763344 0.        ]
55,0.11200000000000009,[3.09474101e-05 6.41957783e-05],[0.00106391 0.00219765],[0.02759932 0.05652146],[0.28747798 0.        ]
56,0.11400000000000009,[3.31894331e-05 6.88247539e-05],[0.00112101 0.00231449],[0.02855    0.05842045],[0.29746427 0.        ]
57,0.11600000000000009,[3.55495097e-05 7.36950943e-05],[0.00118004 0.00243517],[0.02951339 0.06034121],[0.30759027 0.        ]
58,0.11800000000000009,[3.80315432e-05 7.88145673e-05],[0.00124102 0.00255974],[0.03048924 0.06228312],[0.31785388 0.        ]
59,0.12000000000000009,[4.06394861e-05 8.41910224e-05],[0.00130397 0.00268823],[0.03147733 0.06424554],[0.328253 0.      ]
60,0.1220000000000001,[4.33773387e-05 8.98323887e-05],[0.00136893 0.00282068],[0.03247744 0.06622779],[0.33878548 0.        ]
61,0.1240000000000001,[4.62491485e-05 9.57466719e-05],[0.0014359  0.00295714],[0.03348931 0.06822924],[0.34944915 0.        ]
62,0.12600000000000008,[4.92590092e-05 1.01941952e-04],[0.00150493 0.00309764],[0.03451271 0.07024921],[0.3602418 0.       ]
63,0.12800000000000009,[5.24110594e-05 1.08426380e-04],[0.00157603 0.00324221],[0.03554739 0.07228702],[0.3711612 0.       ]
64,0.1300000000000001,[5.57094821e-05 1.15208176e-04],[0.00164921 0.0033909 ],[0.03659311 0.07434198],[0.38220508 0.        ]
