,time,qpos,qvel,qacc,ctrl
0,0.0,[0. 0.],[0. 0.],[  5.74940036 340.34321172],[0.22  0.393]
1,0.001,[5.74940036e-06 3.40343212e-04],[0.0057494  0.34034321],[  5.51823374 325.64538177],[0.21971193 0.37591181]
2,0.002,[1.70170345e-05 1.00633181e-03],[0.01126763 0.66598859],[  5.29573872 311.49937227],[0.21943483 0.35949328]
3,0.003,[3.35804073e-05 1.98381977e-03],[0.01656337 0.97748797],[  5.08158157 297.88480899],[0.21916828 0.34371967]
4,0.004,[5.52253617e-05 3.25919255e-03],[0.02164495 1.27537277],[  4.87543538 284.78202672],[0.21891189 0.32856712]
5,0.005,[8.17457515e-05 4.81934735e-03],[0.02652039 1.5601548 ],[  4.67698156 272.17205903],[0.21866527 0.31401266]
6,0.006,[0.00011294 0.00665167],[0.03119737 1.83232686],[  4.48591108 260.03662513],[0.21842806 0.30003417]
7,0.007,[0.00014863 0.00874404],[0.03568328 2.09236349],[  4.30192529 248.35811451],[0.21819992 0.28661036]
8,0.008,[0.00018861 0.01108476],[0.03998521 2.3407216 ],[  4.1247365  237.11956983],[0.2179805  0.27372071]
9,0.009000000000000001,[0.00023272 0.0136626 ],[0.04410994 2.57784117],[  3.95406832 226.30466859],[0.21776949 0.26134547]
10,0.010000000000000002,[0.00028079 0.01646675],[0.04806401 2.80414584],[  3.78965586 215.89770385],[0.21756657 0.24946563]
11,0.011000000000000003,[0.00033264 0.01948679],[0.05185367 3.02004354],[  3.63124571 205.88356442],[0.21737145 0.23806287]
12,0.012000000000000004,[0.00038812 0.02271272],[0.05548491 3.22592711],[  3.47859582 196.24771465],[0.21718385 0.22711954]
13,0.013000000000000005,[0.00044709 0.02613489],[0.05896351 3.42217482],[  3.33147535 186.97617418],[0.21700349 0.21661867]
14,0.014000000000000005,[0.00050938 0.02974404],[0.06229499 3.609151  ],[  3.18966434 178.05549766],[0.2168301  0.20654389]
15,0.015000000000000006,[0.00057487 0.03353125],[0.06548465 3.78720649],[  3.05295338 169.47275476],[0.21666345 0.19687944]
16,0.016000000000000007,[0.0006434  0.03748793],[0.0685376  3.95667925],[  2.92114328 161.21551047],[0.21650328 0.18761014]
17,0.017000000000000008,[0.00071486 0.04160582],[0.07145875 4.11789476],[  2.79404457 153.27180572],[0.21634937 0.17872137]
18,0.01800000000000001,[0.00078912 0.04587699],[0.07425279 4.27116656],[  2.67147716 145.63013861],[0.21620149 0.17019905]
19,0.01900000000000001,[0.00086604 0.05029379],[0.07692427 4.4167967 ],[  2.55326984 138.27944609],[0.21605943 0.16202959]
20,0.02000000000000001,[0.00094552 0.05484886],[0.07947754 4.55507615],[  2.43925986 131.2090862 ],[0.21592298 0.15419991]
21,0.02100000000000001,[0.00102744 0.05953515],[0.0819168  4.68628524],[  2.32929248 124.4088209 ],[0.21579195 0.14669743]
22,0.022000000000000013,[0.00111168 0.06434584],[0.08424609 4.81069406],[  2.22322053 117.86879961],[0.21566613 0.13950998]
23,0.023000000000000013,[0.00119815 0.0692744 ],[0.08646931 4.92856286],[  2.12090401 111.5795432 ],[0.21554536 0.13262587]
24,0.024000000000000014,[0.00128674 0.07431455],[0.08859021 5.0401424 ],[  2.02220963 105.53192877],[0.21542944 0.12603382]
25,0.025000000000000015,[0.00137735 0.07946022],[0.09061242 5.14567433],[ 1.92701045 99.71717492],[0.21531822 0.11972295]
26,0.026000000000000016,[0.00146989 0.08470561],[0.09253943 5.2453915 ],[ 1.83518546 94.12682771],[0.21521152 0.11368278]
27,0.027000000000000017,[0.00156427 0.09004513],[0.09437462 5.33951833],[ 1.74661925 88.75274719],[0.21510919 0.10790322]
28,0.028000000000000018,[0.00166039 0.0954734 ],[0.09612124 5.42827108],[ 1.66120166 83.58709451],[0.21501106 0.10237452]
29,0.02900000000000002,[0.00175817 0.10098526],[0.09778244 5.51185817],[ 1.57882742 78.62231961],[0.214917   0.09708729]
30,0.03000000000000002,[0.00185753 0.10657574],[0.09936127 5.59048049],[ 1.49939586 73.85114946],[0.21482685 0.09203249]
31,0.03100000000000002,[0.00195839 0.11224007],[0.10086066 5.66433164],[ 1.42281062 69.26657684],[0.21474049 0.08720138]
32,0.03200000000000002,[0.00206068 0.11797367],[0.10228348 5.73359822],[ 1.34897937 64.86184963],[0.21465777 0.08258556]
33,0.03300000000000002,[0.00216431 0.12377213],[0.10363245 5.79846007],[ 1.27781357 60.63046054],[0.21457856 0.07817692]
34,0.03400000000000002,[0.00226922 0.12963122],[0.10491027 5.85909053],[ 1.20922819 56.56613744],[0.21450274 0.07396762]
35,0.035000000000000024,[0.00237534 0.13554688],[0.1061195  5.91565667],[ 1.14314156 52.66283397],[0.21443018 0.06995014]
36,0.036000000000000025,[0.0024826 0.1415152],[0.10726264 5.9683195 ],[ 1.07947507 48.91472072],[0.21436078 0.0661172 ]
37,0.037000000000000026,[0.00259094 0.14753243],[0.10834211 6.01723422],[ 1.01815305 45.31617678],[0.2142944 0.0624618]
38,0.03800000000000003,[0.0027003  0.15359498],[0.10936027 6.0625504 ],[ 0.95910258 41.86178164],[0.21423095 0.05897716]
39,0.03900000000000003,[0.00281062 0.15969939],[0.11031937 6.10441218],[ 0.9022533  38.54630748],[0.2141703  0.05565679]
40,0.04000000000000003,[0.00292184 0.16584235],[0.11122162 6.14295849],[ 0.84753727 35.36471188],[0.21411237 0.05249439]
41,0.04100000000000003,[0.00303391 0.17202068],[0.11206916 6.1783232 ],[ 0.79488887 32.31213076],[0.21405705 0.0494839 ]
42,0.04200000000000003,[0.00314678 0.17823131],[0.11286405 6.21063533],[ 0.74424459 29.3838717 ],[0.21400424 0.04661949]
43,0.04300000000000003,[0.00326039 0.18447133],[0.11360829 6.2400192 ],[ 0.695543   26.57540756],[0.21395384 0.04389553]
44,0.04400000000000003,[0.00337469 0.19073793],[0.11430384 6.26659461],[ 0.64872457 23.88237035],[0.21390576 0.04130658]
45,0.04500000000000003,[0.00348964 0.1970284 ],[0.11495256 6.29047698],[ 0.60373163 21.30054541],[0.21385992 0.03884742]
46,0.046000000000000034,[0.0036052  0.20334018],[0.11555629 6.31177752],[ 0.56050822 18.82586583],[0.21381622 0.036513  ]
47,0.047000000000000035,[0.00372132 0.20967078],[0.1161168  6.33060339],[ 0.51900008 16.45440709],[0.21377459 0.03429846]
48,0.048000000000000036,[0.00383795 0.21601784],[0.1166358 6.3470578],[ 0.47915448 14.18238196],[0.21373494 0.0321991 ]
49,0.04900000000000004,[0.00395507 0.22237908],[0.11711495 6.36124018],[ 0.44092024 12.00613562],[0.21369718 0.03021043]
50,0.05000000000000004,[0.00407262 0.22875233],[0.11755587 6.37324631],[0.40424762 9.92214093],[0.21366126 0.02832807]
51,0.05100000000000004,[0.00419058 0.2351355 ],[0.11796012 6.38316846],[0.36908824 7.92699397],[0.21362708 0.02654784]
52,0.05200000000000004,[0.00430891 0.24152659],[0.11832921 6.39109545],[0.33539509 6.0174097 ],[0.21359458 0.02486569]
53,0.05300000000000004,[0.00442758 0.2479237 ],[0.11866461 6.39711286],[0.30312242 4.19021784],[0.21356369 0.02327773]
54,0.05400000000000004,[0.00454654 0.25432501],[0.11896773 6.40130308],[0.27222573 2.44235887],[0.21353434 0.0217802 ]
55,0.05500000000000004,[0.00466578 0.26072875],[0.11923995 6.40374544],[0.24266172 0.77088024],[0.21350646 0.02036948]
56,0.05600000000000004,[0.00478527 0.26713327],[0.11948262 6.40451632],[ 0.21438821 -0.82706734],[0.21348    0.01904209]
57,0.057000000000000044,[0.00490496 0.27353696],[0.119697   6.40368925],[ 0.1873642 -2.3542334],[0.21345488 0.01779467]
58,0.058000000000000045,[0.00502485 0.27993829],[0.11988437 6.40133502],[ 0.16154973 -3.81327113],[0.21343106 0.01662399]
59,0.059000000000000045,[0.00514489 0.28633582],[0.12004592 6.39752174],[ 0.13690592 -5.20674065],[0.21340846 0.01552694]
60,0.060000000000000046,[0.00526508 0.29272813],[0.12018282 6.392315  ],[ 0.11339491 -6.53711216],[0.21338704 0.01450051]
61,0.06100000000000005,[0.00538537 0.29911391],[0.12029622 6.38577789],[ 0.09097985 -7.80676898],[0.21336675 0.01354181]
62,0.06200000000000005,[0.00550576 0.30549188],[0.1203872  6.37797112],[ 0.06962484 -9.01801048],[0.21334752 0.01264807]
63,0.06300000000000004,[0.00562622 0.31186083],[0.12045682 6.36895311],[  0.04929497 -10.17305491],[0.21332931 0.01181661]
64,0.06400000000000004,[0.00574672 0.31821961],[0.12050612 6.35878006],[  0.02995623 -11.27404213],[0.21331206 0.01104484]
65,0.06500000000000004,[0.00586726 0.32456712],[0.12053607 6.34750601],[ 1.15755240e-02 -1.23230362e+01],[0.21329574 0.01033028]
