,time,qpos,qvel,qacc,ctrl
0,0.0,[0. 0.],[0. 0.],[  -8.18123426 -547.63932501],[ 0.22166715 -0.6414013 ]
1,0.001,[-8.18123426e-06 -5.47639325e-04],[-0.00818123 -0.54763933],[  -7.81603576 -524.42237475],[ 0.2221444 -0.6144097]
2,0.002,[-2.41785043e-05 -1.61970102e-03],[-0.01599727 -1.0720617 ],[  -7.46445363 -502.07309975],[ 0.22260378 -0.58847229]
3,0.003,[-4.76402279e-05 -3.19383582e-03],[-0.02346172 -1.5741348 ],[  -7.12592431 -480.55919376],[ 0.22304593 -0.56355017]
4,0.004,[-7.82278759e-05 -5.24852982e-03],[-0.03058765 -2.05469399],[  -6.79988195 -459.84938394],[ 0.22347148 -0.53960587]
5,0.005,[-0.00011562 -0.00776307],[-0.03738753 -2.51454338],[  -6.48576601 -439.91345691],[ 0.22388101 -0.51660332]
6,0.006,[-0.00015949 -0.01071753],[-0.0438733  -2.95445683],[  -6.18302712 -420.72227067],[ 0.22427509 -0.49450781]
7,0.007,[-0.00020955 -0.01409271],[-0.05005632 -3.3751791 ],[  -5.89113168 -402.24775527],[ 0.22465426 -0.47328594]
8,0.008,[-0.00026549 -0.01787014],[-0.05594745 -3.77742686],[  -5.60956524 -384.46290431],[ 0.22501902 -0.45290557]
9,0.009000000000000001,[-0.00032705 -0.02203203],[-0.06155702 -4.16188976],[  -5.33783499 -367.34175902],[ 0.22536988 -0.43333577]
10,0.010000000000000002,[-0.00039394 -0.02656126],[-0.06689485 -4.52923152],[  -5.07547135 -350.85938673],[ 0.22570728 -0.41454678]
11,0.011000000000000003,[-0.00046591 -0.03144135],[-0.07197033 -4.88009091],[  -4.82202909 -334.99185479],[ 0.22603168 -0.39650995]
12,0.012000000000000004,[-0.00054271 -0.03665643],[-0.07679236 -5.21508276],[  -4.57708769 -319.71620127],[ 0.2263435 -0.3791977]
13,0.013000000000000005,[-0.00062408 -0.04219123],[-0.08136944 -5.53479897],[  -4.34025152 -305.01040309],[ 0.22664313 -0.36258351]
14,0.014000000000000005,[-0.00070979 -0.04803104],[-0.08570969 -5.83980937],[  -4.11114943 -290.85334269],[ 0.22693095 -0.34664181]
15,0.015000000000000006,[-0.00079961 -0.0541617 ],[-0.08982084 -6.13066271],[  -3.88943429 -277.22477347],[ 0.22720734 -0.33134799]
16,0.016000000000000007,[-0.00089332 -0.06056959],[-0.09371028 -6.40788749],[  -3.67478216 -264.10528485],[ 0.22747263 -0.31667836]
17,0.017000000000000008,[-0.0009907  -0.06724158],[-0.09738506 -6.67199277],[  -3.46689135 -251.47626717],[ 0.22772717 -0.30261008]
