,time,qpos,qvel,qacc,ctrl
0,0.0,[0. 0.],[0. 0.],[  8.25938563 512.34106352],[0.11836621 0.59494816]
1,0.001,[8.25938563e-06 5.12341064e-04],[0.00825939 0.51234106],[  7.90783017 489.95583411],[0.11820716 0.56891747]
2,0.002,[2.44266014e-05 1.51463796e-03],[0.01616722 1.0022969 ],[  7.56943834 468.40923187],[0.11806447 0.54390425]
3,0.003,[4.81632556e-05 2.98534409e-03],[0.02373665 1.47070613],[  7.24367488 447.67009101],[0.11793753 0.5198709 ]
4,0.004,[7.91435846e-05 4.90372031e-03],[0.03098033 1.91837622],[  6.93000585 427.70826585],[0.11782573 0.49678118]
5,0.005,[0.00011705 0.0072498 ],[0.03791033 2.34608449],[  6.62790486 408.49464706],[0.11772849 0.47460023]
6,0.006,[0.00016159 0.01000438],[0.04453824 2.75457913],[  6.33685788 390.00116618],[0.11764528 0.45329448]
7,0.007,[0.00021247 0.01314896],[0.0508751 3.1445803],[  6.05636691 372.20079056],[0.11757556 0.43283162]
8,0.008,[0.0002694  0.01666575],[0.05693146 3.51678109],[  5.78595267 355.06751066],[0.11751884 0.41318057]
9,0.009000000000000001,[0.00033212 0.02053759],[0.06271742 3.8718486 ],[  5.52515649 338.57632141],[0.11747463 0.39431139]
10,0.010000000000000002,[0.00040036 0.02474802],[0.06824257 4.21042492],[  5.27354152 322.70319875],[0.11744248 0.37619529]
11,0.011000000000000003,[0.00047387 0.02928115],[0.07351612 4.53312812],[  5.03069342 307.42507269],[0.11742197 0.35880454]
12,0.012000000000000004,[0.00055242 0.0341217 ],[0.07854681 4.84055319],[  4.79622057 292.71979772],[0.11741266 0.34211245]
13,0.013000000000000005,[0.00063576 0.03925497],[0.08334303 5.13327299],[  4.56975399 278.56612142],[0.11741417 0.32609331]
14,0.014000000000000005,[0.00072368 0.04466681],[0.08791278 5.41183911],[  4.35094689 264.94365176],[0.11742612 0.31072239]
15,0.015000000000000006,[0.00081594 0.0503436 ],[0.09226373 5.67678276],[  4.1394741 251.8328239],[0.11744814 0.29597585]
16,0.016000000000000007,[0.00091234 0.05627221],[0.0964032  5.92861559],[  3.93503123 239.2148666 ],[0.11747989 0.28183073]
17,0.017000000000000008,[0.00101268 0.06244004],[0.10033824 6.16783046],[  3.7373338 227.0717689],[0.11752104 0.26826493]
18,0.01800000000000001,[0.00111676 0.06883494],[0.10407557 6.39490222],[  3.54611623 215.38624708],[0.11757127 0.25525711]
19,0.01900000000000001,[0.00122438 0.07544523],[0.10762169 6.61028847],[  3.36113074 204.14171233],[0.11763027 0.24278675]
20,0.02000000000000001,[0.00133536 0.08225966],[0.11098282 6.81443018],[  3.18214634 193.3222392 ],[0.11769775 0.23083406]
21,0.02100000000000001,[0.00144953 0.08926741],[0.11416496 7.00775242],[  3.00894767 182.91253498],[0.11777343 0.21937993]
22,0.022000000000000013,[0.0015667  0.09645808],[0.11717391 7.19066496],[  2.84133391 172.89791018],[0.11785703 0.20840598]
23,0.023000000000000013,[0.00168672 0.10382164],[0.12001524 7.36356287],[  2.67911771 163.26425002],[0.1179483  0.19789445]
24,0.024000000000000014,[0.00180941 0.11134847],[0.12269436 7.52682712],[  2.52212415 153.99798718],[0.11804697 0.18782822]
25,0.025000000000000015,[0.00193463 0.11902929],[0.12521649 7.6808251 ],[  2.37018971 145.08607571],[0.1181528  0.17819079]
26,0.026000000000000016,[0.00206221 0.12685521],[0.12758668 7.82591118],[  2.22316129 136.51596615],[0.11826555 0.16896622]
27,0.027000000000000017,[0.00219202 0.13481763],[0.12980984 7.96242715],[  2.08089532 128.27558183],[0.11838499 0.16013913]
28,0.028000000000000018,[0.00232391 0.14290834],[0.13189073 8.09070273],[  1.94325685 120.35329637],[0.1185109 0.1516947]
29,0.02900000000000002,[0.00245775 0.15111939],[0.13383399 8.21105603],[  1.81011875 112.73791241],[0.11864306 0.1436186 ]
30,0.03000000000000002,[0.00259339 0.15944319],[0.13564411 8.32379394],[  1.68136093 105.41864142],[0.11878125 0.13589701]
31,0.03100000000000002,[0.00273072 0.1678724 ],[0.13732547 8.42921258],[ 1.55686964 98.38508463],[0.11892527 0.12851661]
32,0.03200000000000002,[0.0028696 0.1764   ],[0.13888234 8.52759766],[ 1.43653681 91.62721506],[0.11907492 0.12146451]
33,0.03300000000000002,[0.00300992 0.18501922],[0.14031888 8.61922488],[ 1.32025942 85.1353606 ],[0.11922999 0.11472828]
34,0.03400000000000002,[0.00315156 0.19372358],[0.14163913 8.70436024],[ 1.20793896 78.90018801],[0.11939031 0.10829593]
35,0.035000000000000024,[0.00329441 0.20250684],[0.14284707 8.78326043],[ 1.09948095 72.91268791],[0.11955567 0.10215587]
36,0.036000000000000025,[0.00343835 0.21136301],[0.14394655 8.85617312],[ 0.99479443 67.16416073],[0.1197259  0.09629692]
37,0.037000000000000026,[0.00358329 0.22028635],[0.14494135 8.92333728],[ 0.89379157 61.64620337],[0.11990083 0.09070828]
38,0.03800000000000003,[0.00372913 0.22927134],[0.14583514 8.98498348],[ 0.79638731 56.35069679],[0.12008026 0.08537954]
39,0.03900000000000003,[0.00387576 0.23831267],[0.14663153 9.04133418],[ 0.70249902 51.26979431],[0.12026404 0.08030063]
40,0.04000000000000003,[0.00402309 0.24740527],[0.14733403 9.09260397],[ 0.61204619 46.39591061],[0.120452   0.07546184]
41,0.04100000000000003,[0.00417104 0.25654427],[0.14794607 9.13899988],[ 0.5249502  41.72171145],[0.12064397 0.0708538 ]
42,0.04200000000000003,[0.00431951 0.26572499],[0.14847102 9.18072159],[ 0.44113408 37.24010393],[0.12083979 0.06646747]
43,0.04300000000000003,[0.00446842 0.27494296],[0.14891216 9.2179617 ],[ 0.36052231 32.94422744],[0.1210393  0.06229411]
44,0.04400000000000003,[0.0046177  0.28419386],[0.14927268 9.25090592],[ 0.28304066 28.82744505],[0.12124237 0.0583253 ]
45,0.04500000000000003,[0.00476725 0.2934736 ],[0.14955572 9.27973337],[ 0.20861608 24.88333549],[0.12144882 0.05455292]
46,0.046000000000000034,[0.00491702 0.30277821],[0.14976434 9.3046167 ],[ 0.1371765  21.10568551],[0.12165852 0.05096913]
47,0.047000000000000035,[0.00506692 0.31210393],[0.14990151 9.32572239],[ 0.06865083 17.48848276],[0.12187133 0.04756635]
48,0.048000000000000036,[0.00521689 0.32144715],[0.14997016 9.34321087],[2.9688206e-03 1.4025909e+01],[0.12208711 0.0443373 ]
49,0.04900000000000004,[0.00536686 0.33080438],[0.14997313 9.35723678],[-0.05993899 10.71233371],[0.12230571 0.04127494]
50,0.05000000000000004,[0.00551677 0.34017233],[0.14991319 9.36794912],[-0.12014132  7.54230802],[0.12252701 0.03837248]
51,0.05100000000000004,[0.00566657 0.34954782],[0.14979305 9.37549142],[-0.17770615  4.51055897],[0.12275088 0.0356234 ]
52,0.05200000000000004,[0.00581618 0.35892782],[0.14961535 9.38000198],[-0.23270078  1.61198402],[0.12297718 0.03302138]
53,0.05300000000000004,[0.00596557 0.36830944],[0.14938265 9.38161397],[-0.28519183 -1.15835413],[0.1232058  0.03056034]
54,0.05400000000000004,[0.00611466 0.37768989],[0.14909745 9.38045561],[-0.33524524 -3.80523254],[0.12343662 0.02823445]
55,0.05500000000000004,[0.00626343 0.38706654],[0.14876221 9.37665038],[-0.38292626 -6.33327279],[0.12366951 0.02603805]
56,0.05600000000000004,[0.0064118  0.39643686],[0.14837928 9.37031711],[-0.42829946 -8.74694549],[0.12390437 0.02396571]
57,0.057000000000000044,[0.00655976 0.40579843],[0.14795098 9.36157016],[ -0.47142869 -11.05057472],[0.12414108 0.02201221]
58,0.058000000000000045,[0.00670724 0.41514895],[0.14747955 9.35051959],[ -0.51237707 -13.24834219],[0.12437953 0.02017251]
59,0.059000000000000045,[0.0068542  0.42448622],[0.14696718 9.33727124],[ -0.55120699 -15.34429135],[0.12461962 0.01844175]
60,0.060000000000000046,[0.00700062 0.43380815],[0.14641597 9.32192695],[ -0.58798005 -17.34233123],[0.12486124 0.01681527]
61,0.06100000000000005,[0.00714645 0.44311273],[0.14582799 9.30458462],[ -0.62275704 -19.24624032],[0.1251043  0.01528857]
62,0.06200000000000005,[0.00729165 0.45239807],[0.14520523 9.28533838],[ -0.65559795 -21.0596702 ],[0.12534869 0.01385735]
63,0.06300000000000004,[0.0074362  0.46166235],[0.14454963 9.26427871],[ -0.68656189 -22.7861491 ],[0.12559433 0.01251743]
64,0.06400000000000004,[0.00758006 0.47090384],[0.14386307 9.24149256],[ -0.71570711 -24.42908537],[0.12584112 0.01126483]
65,0.06500000000000004,[0.00772321 0.48012091],[0.14314737 9.21706348],[ -0.74309093 -25.9917709 ],[0.12608898 0.01009569]
66,0.06600000000000004,[0.00786562 0.48931198],[0.14240427 9.19107171],[ -0.76876977 -27.47738434],[0.12633781 0.00900633]
67,0.06700000000000005,[0.00800725 0.49847557],[0.14163551 9.16359432],[ -0.79279905 -28.88899436],[0.12658753 0.00799318]
68,0.06800000000000005,[0.00814809 0.50761028],[0.14084271 9.13470533],[ -0.81523325 -30.22956273],[0.12683807 0.00705284]
69,0.06900000000000005,[0.00828812 0.51671475],[0.14002747 9.10447576],[ -0.83612583 -31.50194745],[0.12708935 0.00618203]
70,0.07000000000000005,[0.00842731 0.52578773],[0.13919135 9.07297382],[ -0.85552924 -32.70890567],[0.12734128 0.0053776 ]
71,0.07100000000000005,[0.00856565 0.53482799],[0.13833582 9.04026491],[ -0.87349487 -33.85309665],[0.1275938  0.00463652]
72,0.07200000000000005,[0.00870311 0.54383441],[0.13746232 9.00641181],[ -0.89007309 -34.93708461],[0.12784683 0.00395589]
73,0.07300000000000005,[0.00883968 0.55280588],[0.13657225 8.97147473],[ -0.90531319 -35.96334155],[0.12810031 0.00333291]
74,0.07400000000000005,[0.00897535 0.56174139],[0.13566694 8.93551139],[ -0.91926338 -36.93424996],[0.12835417 0.00276492]
75,0.07500000000000005,[0.0091101  0.57063997],[0.13474767 8.89857714],[ -0.9319708  -37.85210553],[0.12860835 0.00224934]
76,0.07600000000000005,[0.00924391 0.57950069],[0.1338157  8.86072503],[ -0.94348149 -38.7191198 ],[0.12886279 0.0017837 ]
77,0.07700000000000005,[0.00937679 0.5883227 ],[0.13287222 8.82200591],[ -0.9538404  -39.53742265],[0.12911742 0.00136566]
78,0.07800000000000006,[0.0095087  0.59710517],[0.13191838 8.78246849],[ -0.96309137 -40.30906493],[0.12937219 0.00099293]
79,0.07900000000000006,[0.00963966 0.60584733],[0.13095529 8.74215943],[ -0.97127718 -41.03602084],[0.12962704 0.00066334]
80,0.08000000000000006,[0.00976964 0.61454845],[0.12998401 8.7011234 ],[ -0.97843947 -41.72019037],[0.12988193 0.00037482]
81,0.08100000000000006,[0.00989865 0.62320785],[0.12900557 8.65940321],[ -0.98461881 -42.36340167],[1.30136791e-01 1.25356899e-04]
82,0.08200000000000006,[0.01002667 0.63182489],[0.12802095 8.61703981],[ -0.98985469 -42.96741337],[ 1.30391586e-01 -8.69572108e-05]
83,0.08300000000000006,[0.0101537  0.64039897],[0.1270311 8.5740724],[ -0.99418551 -43.53391679],[ 0.13064626 -0.00026396]
84,0.08400000000000006,[0.01027974 0.6489295 ],[0.12603691 8.53053848],[ -0.99764861 -44.06453817],[ 0.13090078 -0.0004074 ]
85,0.08500000000000006,[0.01040478 0.65741598],[0.12503926 8.48647394],[ -1.00028025 -44.56084084],[ 0.13115509 -0.00051897]
86,0.08600000000000006,[0.01052882 0.66585789],[0.12403898 8.4419131 ],[ -1.00211565 -45.02432729],[ 0.13140915 -0.00060028]
87,0.08700000000000006,[0.01065185 0.67425478],[0.12303687 8.39688878],[ -1.003189   -45.45644124],[ 0.13166292 -0.00065287]
88,0.08800000000000006,[0.01077389 0.68260621],[0.12203368 8.35143234],[ -1.00353346 -45.85856964],[ 0.13191637 -0.00067822]
89,0.08900000000000007,[0.01089492 0.69091179],[0.12103015 8.30557377],[ -1.00318118 -46.23204461],[ 0.13216945 -0.00067774]
90,0.09000000000000007,[0.01101494 0.69917113],[0.12002697 8.25934172],[ -1.00216331 -46.57814534],[ 0.13242214 -0.00065278]
91,0.09100000000000007,[0.01113397 0.70738389],[0.1190248  8.21276358],[ -1.00051004 -46.89809995],[ 0.13267439 -0.00060464]
92,0.09200000000000007,[0.01125199 0.71554976],[0.11802429 8.16586548],[ -0.99825057 -47.19308727],[ 0.13292617 -0.00053456]
93,0.09300000000000007,[0.01136902 0.72366843],[0.11702604 8.11867239],[ -0.9954132  -47.46423864],[ 0.13317746 -0.00044373]
94,0.09400000000000007,[0.01148505 0.73173964],[0.11603063 8.07120815],[ -0.99202527 -47.71263955],[ 0.13342822 -0.00033326]
95,0.09500000000000007,[0.01160009 0.73976313],[0.1150386  8.02349551],[ -0.98811322 -47.93933133],[ 0.13367842 -0.00020426]
96,0.09600000000000007,[0.01171414 0.74773869],[0.11405049 7.97555618],[ -0.98370262 -48.14531276],[ 1.33928045e-01 -5.77398701e-05]
97,0.09700000000000007,[0.01182721 0.7556661 ],[0.11306679 7.92741087],[ -0.97881816 -48.33154164],[1.34177058e-01 1.05295502e-04]
98,0.09800000000000007,[0.01193929 0.76354518],[0.11208797 7.87907932],[ -0.97348368 -48.49893626],[0.13442544 0.00028391]
99,0.09900000000000007,[0.01205041 0.77137576],[0.11111449 7.83058039],[ -0.96772222 -48.64837693],[0.13467316 0.00047719]
100,0.10000000000000007,[0.01216055 0.77915769],[0.11014676 7.78193201],[ -0.96155597 -48.78070735],[0.1349202  0.00068428]
101,0.10100000000000008,[0.01226974 0.78689084],[0.10918521 7.7331513 ],[ -0.95500637 -48.89673603],[0.13516654 0.00090435]
102,0.10200000000000008,[0.01237797 0.7945751 ],[0.1082302  7.68425457],[ -0.94809408 -48.99723762],[0.13541216 0.00113663]
103,0.10300000000000008,[0.01248525 0.80221036],[0.10728211 7.63525733],[ -0.94083901 -49.08295419],[0.13565704 0.00138035]
104,0.10400000000000008,[0.01259159 0.80979653],[0.10634127 7.58617438],[ -0.93326035 -49.15459648],[0.13590116 0.00163481]
105,0.10500000000000008,[0.012697   0.81733355],[0.10540801 7.53701978],[ -0.92537658 -49.21284515],[0.1361445  0.00189931]
106,0.10600000000000008,[0.01280148 0.82482136],[0.10448263 7.48780693],[ -0.9172055 -49.2583519],[0.13638705 0.00217321]
107,0.10700000000000008,[0.01290505 0.83225991],[0.10356543 7.43854858],[ -0.90876424 -49.29174064],[0.13662879 0.00245588]
108,0.10800000000000008,[0.01300771 0.83964916],[0.10265666 7.38925684],[ -0.90006928 -49.31360857],[0.1368697  0.00274673]
109,0.10900000000000008,[0.01310946 0.84698911],[0.10175659 7.33994323],[ -0.89113648 -49.32452725],[0.13710977 0.00304519]
110,0.11000000000000008,[0.01321033 0.85427972],[0.10086546 7.29061871],[ -0.88198108 -49.32504359],[0.137349   0.00335073]
111,0.11100000000000008,[0.01331031 0.86152102],[0.09998347 7.24129366],[ -0.87261775 -49.31568085],[0.13758735 0.00366283]
112,0.11200000000000009,[0.01340942 0.868713  ],[0.09911086 7.19197798],[ -0.86306056 -49.29693962],[0.13782483 0.00398099]
113,0.11300000000000009,[0.01350767 0.87585568],[0.0982478  7.14268104],[ -0.85332304 -49.26929869],[0.13806143 0.00430476]
114,0.11400000000000009,[0.01360506 0.88294909],[0.09739447 7.09341174],[ -0.8434182  -49.23321595],[0.13829712 0.00463368]
115,0.11500000000000009,[0.01370162 0.88999327],[0.09655105 7.04417853],[ -0.83335851 -49.18912924],[0.13853191 0.00496734]
116,0.11600000000000009,[0.01379733 0.89698826],[0.0957177 6.9949894],[ -0.82315594 -49.13745718],[0.13876577 0.00530532]
117,0.11700000000000009,[0.01389223 0.90393411],[0.09489454 6.94585194],[ -0.81282199 -49.07859994],[0.13899871 0.00564726]
118,0.11800000000000009,[0.01398631 0.91083088],[0.09408172 6.89677334],[ -0.80236767 -49.01294002],[0.13923072 0.00599277]
119,0.11900000000000009,[0.01407959 0.91767864],[0.09327935 6.8477604 ],[ -0.79180355 -48.94084296],[0.13946178 0.00634152]
120,0.12000000000000009,[0.01417208 0.92447746],[0.09248755 6.79881956],[ -0.78113977 -48.86265806],[0.13969189 0.00669317]
121,0.1210000000000001,[0.01426378 0.93122742],[0.09170641 6.7499569 ],[ -0.77038602 -48.77871904],[0.13992105 0.00704741]
122,0.1220000000000001,[0.01435472 0.9379286 ],[0.09093602 6.70117818],[ -0.75955162 -48.68934472],[0.14014925 0.00740395]
123,0.1230000000000001,[0.0144449  0.94458109],[0.09017647 6.65248884],[ -0.74864546 -48.59483961],[0.14037647 0.00776248]
124,0.1240000000000001,[0.01453432 0.95118498],[0.08942782 6.603894  ],[ -0.73767607 -48.49549453],[0.14060272 0.00812276]
125,0.12500000000000008,[0.01462301 0.95774038],[0.08869015 6.5553985 ],[ -0.72665161 -48.39158718],[0.140828   0.00848452]
126,0.12600000000000008,[0.01471098 0.96424738],[0.0879635  6.50700691],[ -0.71557989 -48.28338273],[0.14105229 0.00884751]
127,0.12700000000000009,[0.01479823 0.97070611],[0.08724792 6.45872353],[ -0.70446837 -48.17113429],[0.14127559 0.00921152]
128,0.12800000000000009,[0.01488477 0.97711666],[0.08654345 6.4105524 ],[ -0.6933242  -48.05508346],[0.14149791 0.00957631]
129,0.1290000000000001,[0.01497062 0.98347916],[0.08585012 6.36249731],[ -0.68215418 -47.93546083],[0.14171923 0.00994169]
130,0.1300000000000001,[0.01505579 0.98979372],[0.08516797 6.31456185],[ -0.67096485 -47.81248642],[0.14193955 0.01030745]
131,0.1310000000000001,[0.01514028 0.99606047],[0.084497   6.26674937],[ -0.65976242 -47.68637018],[0.14215887 0.01067341]
132,0.1320000000000001,[0.01522412 1.00227953],[0.08383724 6.219063  ],[ -0.64855283 -47.55731236],[0.1423772 0.0110394]
133,0.1330000000000001,[0.01530731 1.00845104],[0.08318869 6.17150568],[ -0.63734175 -47.42550399],[0.14259451 0.01140524]
134,0.1340000000000001,[0.01538986 1.01457512],[0.08255135 6.12408018],[ -0.62613459 -47.29112722],[0.14281083 0.01177079]
135,0.1350000000000001,[0.01547179 1.02065191],[0.08192521 6.07678905],[ -0.6149365  -47.15435578],[0.14302613 0.01213588]
136,0.1360000000000001,[0.0155531  1.02668154],[0.08131028 6.0296347 ],[ -0.6037524  -47.01535525],[0.14324043 0.01250038]
137,0.1370000000000001,[0.0156338  1.03266416],[0.08070652 5.98261934],[ -0.59258697 -46.8742835 ],[0.14345371 0.01286416]
138,0.1380000000000001,[0.01571392 1.03859991],[0.08011394 5.93574506],[ -0.58144465 -46.73129097],[0.14366599 0.01322709]
139,0.1390000000000001,[0.01579345 1.04448892],[0.07953249 5.88901377],[ -0.5703297  -46.58652104],[0.14387725 0.01358905]
140,0.1400000000000001,[0.01587241 1.05033135],[0.07896216 5.84242725],[ -0.55924613 -46.44011028],[0.14408751 0.01394993]
141,0.1410000000000001,[0.01595081 1.05612733],[0.07840292 5.79598714],[ -0.54819779 -46.2921888 ],[0.14429675 0.01430963]
142,0.1420000000000001,[0.01602867 1.06187703],[0.07785472 5.74969495],[ -0.53718832 -46.14288053],[0.14450499 0.01466805]
143,0.1430000000000001,[0.01610599 1.06758058],[0.07731753 5.70355207],[ -0.52622117 -45.99230345],[0.14471221 0.01502509]
144,0.1440000000000001,[0.01618278 1.07323814],[0.07679131 5.65755976],[ -0.51529962 -45.8405699 ],[0.14491842 0.01538067]
145,0.1450000000000001,[0.01625905 1.07884986],[0.07627601 5.61171919],[ -0.50442678 -45.68778679],[0.14512362 0.0157347 ]
146,0.1460000000000001,[0.01633483 1.08441589],[0.07577158 5.56603141],[ -0.49360561 -45.53405587],[0.14532781 0.01608712]
147,0.1470000000000001,[0.0164101  1.08993639],[0.07527798 5.52049735],[ -0.48283888 -45.37947395],[0.145531   0.01643784]
148,0.1480000000000001,[0.0164849  1.09541151],[0.07479514 5.47511788],[ -0.47212923 -45.22413312],[0.14573318 0.0167868 ]
149,0.1490000000000001,[0.01655922 1.1008414 ],[0.07432301 5.42989374],[ -0.46147917 -45.06812092],[0.14593435 0.01713394]
150,0.1500000000000001,[0.01663308 1.10622623],[0.07386153 5.38482562],[ -0.45089105 -44.91152063],[0.14613452 0.0174792 ]
151,0.1510000000000001,[0.01670649 1.11156614],[0.07341064 5.3399141 ],[ -0.44036708 -44.75441137],[0.14633368 0.01782252]
152,0.1520000000000001,[0.01677946 1.1168613 ],[0.07297027 5.29515969],[ -0.42990937 -44.59686833],[0.14653185 0.01816386]
153,0.1530000000000001,[0.016852   1.12211186],[0.07254036 5.25056282],[ -0.41951989 -44.43896295],[0.14672901 0.01850317]
154,0.1540000000000001,[0.01692413 1.12731799],[0.07212084 5.20612386],[ -0.40920049 -44.28076306],[0.14692518 0.01884041]
155,0.1550000000000001,[0.01699584 1.13247983],[0.07171164 5.1618431 ],[ -0.39895291 -44.12233307],[0.14712035 0.01917553]
156,0.1560000000000001,[0.01706715 1.13759755],[0.07131269 5.11772076],[ -0.38877878 -43.96373411],[0.14731453 0.0195085 ]
157,0.1570000000000001,[0.01713807 1.14267131],[0.07092391 5.07375703],[ -0.37867963 -43.80502416],[0.14750772 0.01983929]
158,0.1580000000000001,[0.01720862 1.14770126],[0.07054523 5.02995201],[ -0.3686569  -43.64625823],[0.14769992 0.02016786]
