id,time,qpos,qvel,qacc,ctrl
39,0.08000000000000006,[ 0.01410152 -0.00286432],[ 0.33769959 -0.01372719],[4.11700178 1.61239794],[3.80188415 3.80188415]
40,0.08200000000000006,[ 0.014794  -0.0028865],[ 0.34624095 -0.01109059],[4.27469418 1.31649371],[3.89418342 3.89418342]
41,0.08400000000000006,[ 0.0155041  -0.00290436],[ 0.35504851 -0.00893183],[4.4083466  1.07649772],[3.98609328 3.98609328]
42,0.08600000000000006,[ 0.01623227 -0.00291868],[ 0.36408338 -0.00716063],[4.52246866 0.8818373 ],[4.07760453 4.07760453]
43,0.08800000000000006,[ 0.0169789  -0.00293009],[ 0.37331399 -0.00570379],[4.62071661 0.723939  ],[4.16870802 4.16870802]
44,0.09000000000000007,[ 0.01774433 -0.0029391 ],[ 0.38271465 -0.00450193],[4.70605467 0.59585051],[4.25939465 4.25939465]
45,0.09200000000000007,[ 0.01852885 -0.00294611],[ 0.39226443 -0.00350692],[4.78088591 0.49193417],[4.34965534 4.34965534]
46,0.09400000000000007,[ 0.01933275 -0.00295147],[ 0.40194631 -0.00267973],[4.84715835 0.40761834],[4.43948107 4.43948107]
47,0.09600000000000007,[ 0.02015624 -0.00295545],[ 0.4117464 -0.0019887],[4.906451   0.33919586],[4.52886285 4.52886285]
48,0.09800000000000007,[ 0.02099955 -0.00295826],[ 0.42165336 -0.00140818],[4.96004368 0.28366055],[4.61779176 4.61779176]
49,0.10000000000000007,[ 0.02186286 -0.0029601 ],[ 0.43165789 -0.00091736],[5.00897353 0.23857469],[4.70625888 4.70625888]
50,0.10200000000000008,[ 0.02274637 -0.0029611 ],[ 0.4417524  -0.00049936],[5.05408096 0.20196151],[4.79425539 4.79425539]
51,0.10400000000000008,[ 0.02365023 -0.00296138],[ 4.51930636e-01 -1.40496322e-04],[5.09604684 0.17221804],[4.88177247 4.88177247]
52,0.10600000000000008,[ 0.0245746  -0.00296104],[4.62187435e-01 1.70312140e-04],[5.13542264 0.14804442],[4.96880138 4.96880138]
53,0.10800000000000008,[ 0.02551964 -0.00296015],[4.72518532e-01 4.42061716e-04],[5.17265495 0.12838659],[5.05533341 5.05533341]
54,0.11000000000000008,[ 0.02648548 -0.00295879],[0.48292038 0.00068204],[5.20810525 0.11238982],[5.14135992 5.14135992]
55,0.11200000000000009,[ 0.02747226 -0.002957  ],[0.49339002 0.00089616],[5.24206609 0.09936098],[5.22687229 5.22687229]
56,0.11400000000000009,[ 0.02848011 -0.00295482],[0.50392494 0.00108922],[5.27477405 0.08873805],[5.31186198 5.31186198]
57,0.11600000000000009,[ 0.02950916 -0.00295229],[0.51452304 0.00126509],[5.30642036 0.08006525],[5.39632049 5.39632049]
58,0.11800000000000009,[ 0.03055946 -0.00294928],[0.52515034 0.00150265],[5.32099034 0.11100341],[5.48023937 5.48023937]
59,0.12000000000000009,[ 0.03163096 -0.00294542],[0.53575215 0.00192956],[5.3080824  0.20603952],[5.56361023 5.56361023]
60,0.1220000000000001,[ 0.03272362 -0.00294033],[0.54632885 0.00254395],[5.29536402 0.30013963],[5.64642473 5.64642473]
61,0.1240000000000001,[ 0.03383738 -0.00293365],[0.55688081 0.00334395],[5.28283361 0.39329905],[5.7286746 5.7286746]
62,0.12600000000000008,[ 0.03481216 -0.00275073],[0.48739073 0.09145982],[-34.86232902  44.27175277],[5.81035161 5.81035161]
63,0.12800000000000009,[ 0.03580845 -0.00256635],[0.49814133 0.09218688],[5.3823534  0.35654659],[5.89144758 5.89144758]
64,0.1300000000000001,[ 0.03682618 -0.00238016],[0.50886735 0.09309574],[5.36990401 0.44779496],[5.97195441 5.97195441]
65,0.1320000000000001,[ 0.03786532 -0.00219179],[0.51956916 0.09418448],[5.35764072 0.5380776 ],[6.05186406 6.05186406]
66,0.1340000000000001,[ 0.03892581 -0.00200089],[0.53024712 0.09545116],[5.34556194 0.62739015],[6.13116852 6.13116852]
67,0.1360000000000001,[ 0.04000762 -0.0018071 ],[0.54090159 0.09689383],[5.33366608 0.71572832],[6.20985987 6.20985987]
68,0.1380000000000001,[ 0.04111068 -0.00161008],[0.55153293 0.09851056],[5.32195155 0.80308791],[6.28793024 6.28793024]
69,0.1400000000000001,[ 0.04223496 -0.00140948],[0.56214151 0.10029938],[5.31041672 0.88946477],[6.36537182 6.36537182]
70,0.1420000000000001,[ 0.04338042 -0.00120497],[0.57272766 0.10225833],[5.29905997 0.97485485],[6.44217687 6.44217687]
71,0.1440000000000001,[ 0.044547  -0.0009962],[0.58329174 0.10438543],[5.28787966 1.05925417],[6.51833771 6.51833771]
