,time,qpos,qvel,qacc,ctrl
0,0.002,[ 1.79403415e-05 -9.44556617e-06],[ 0.00897017 -0.00472278],[ 4.49508657 -2.37690447],[0. 0.]
1,0.004,[ 5.37507060e-05 -2.82028654e-05],[ 0.01790518 -0.00937865],[ 4.47743035 -2.34329742],[9.99983333e-05 9.99950000e-03]
2,0.006,[ 1.07361654e-04 -5.61392935e-05],[ 0.02680547 -0.01396821],[ 4.45999466 -2.30999908],[0.00039997 0.019996  ]
3,0.008,[ 1.78704631e-04 -9.31234912e-05],[ 0.03567149 -0.0184921 ],[ 4.44278097 -2.2770134 ],[0.00089987 0.0299865 ]
4,0.01,[ 0.00026771 -0.00013903],[ 0.04450367 -0.02295093],[ 4.42579072 -2.24434425],[0.00159957 0.039968  ]
5,0.012,[ 0.00037432 -0.00019372],[ 0.05330247 -0.02734536],[ 4.40902529 -2.21199545],[0.00249896 0.04993751]
6,0.014,[ 0.00049845 -0.00025707],[ 0.06206833 -0.03167601],[ 4.39248604 -2.17997076],[0.00359784 0.05989203]
7,0.016,[ 0.00064006 -0.00032896],[ 0.07080172 -0.03594356],[ 4.37617426 -2.14827389],[0.004896   0.06982857]
8,0.018000000000000002,[ 0.00079906 -0.00040925],[ 0.07950308 -0.04014864],[ 4.36009122 -2.1169085 ],[0.00639318 0.07974414]
9,0.020000000000000004,[ 0.00097541 -0.00049784],[ 0.08817287 -0.04429195],[ 4.34423814 -2.08587816],[0.00808907 0.08963575]
10,0.022000000000000006,[ 0.00116903 -0.00059458],[ 0.09681156 -0.04837413],[ 4.32861618 -2.05518642],[0.00998334 0.09950042]
11,0.024000000000000007,[ 0.00137987 -0.00069938],[ 0.10541961 -0.05239589],[ 4.31322648 -2.02483674],[0.01207561 0.10933517]
12,0.02600000000000001,[ 0.00160787 -0.00081209],[ 0.11399748 -0.0563579 ],[ 4.29807012 -1.99483254],[0.01436546 0.11913704]
13,0.02800000000000001,[ 0.00185296 -0.00093261],[ 0.12254564 -0.06026086],[ 4.28314814 -1.96517716],[0.01685244 0.12890305]
14,0.030000000000000013,[ 0.00211509 -0.00106082],[ 0.13106455 -0.06410547],[ 4.26846153 -1.93587389],[0.01953604 0.13863024]
15,0.032000000000000015,[ 0.0023942  -0.00119661],[ 0.1395547  -0.06789244],[ 4.25401125 -1.90692598],[0.02241572 0.14831566]
16,0.034000000000000016,[ 0.00269023 -0.00133985],[ 0.14801655 -0.07162248],[ 4.2397982  -1.87833657],[0.02549091 0.15795637]
17,0.03600000000000002,[ 0.00300313 -0.00149045],[ 0.15645057 -0.07529631],[ 4.22582325 -1.85010878],[0.028761   0.16754941]
18,0.03800000000000002,[ 0.00333284 -0.00164828],[ 0.16485725 -0.07891466],[ 4.2120872  -1.82224565],[0.03222532 0.17709186]
19,0.04000000000000002,[ 0.00367932 -0.00181323],[ 0.17323706 -0.08247826],[ 4.19859084 -1.79475016],[0.03588319 0.1865808 ]
20,0.04200000000000002,[ 0.0040425  -0.00198521],[ 0.18159047 -0.08598785],[ 4.18533488 -1.76762522],[0.03973387 0.19601332]
21,0.044000000000000025,[ 0.00442234 -0.0021641 ],[ 0.18991798 -0.08944417],[ 4.17232001 -1.74087369],[0.04377658 0.20538649]
22,0.04600000000000003,[ 0.00481878 -0.00234979],[ 0.19822005 -0.09284796],[ 4.15954687 -1.71449835],[0.04801052 0.21469744]
23,0.04800000000000003,[ 0.00523177 -0.00254219],[ 0.20649718 -0.09619999],[ 4.14701604 -1.68850192],[0.05243483 0.22394327]
24,0.05000000000000003,[ 0.00566127 -0.0027412 ],[ 0.21474985 -0.09950102],[ 4.13472808 -1.66288707],[0.05704863 0.23312111]
25,0.05200000000000003,[ 0.00610723 -0.0029467 ],[ 0.22297854 -0.1027518 ],[ 4.12268348 -1.63765637],[0.06185099 0.24222811]
26,0.054000000000000034,[ 0.00656959 -0.0031586 ],[ 0.23118374 -0.10595311],[ 4.11088269 -1.61281237],[0.06684094 0.25126139]
27,0.056000000000000036,[ 0.00704833 -0.00337682],[ 0.23936593 -0.10910572],[ 4.09932612 -1.58835751],[0.07201749 0.26021814]
28,0.05800000000000004,[ 0.00754338 -0.00360124],[ 0.2475256  -0.11221042],[ 4.08801415 -1.56429419],[0.07737958 0.26909552]
29,0.06000000000000004,[ 0.0080547  -0.00383177],[ 0.25566325 -0.11526798],[ 4.07694707 -1.54062473],[0.08292615 0.27789072]
30,0.06200000000000004,[ 0.00858226 -0.00406833],[ 0.26377935 -0.1182792 ],[ 4.06612518 -1.5173514 ],[0.08865606 0.28660095]
31,0.06400000000000004,[ 0.00912601 -0.00431082],[ 0.2718744  -0.12124487],[ 4.05554868 -1.49447637],[0.09456818 0.29522341]
32,0.06600000000000004,[ 0.00968591 -0.00455915],[ 0.27994888 -0.12416578],[ 4.04521776 -1.47200178],[0.1006613  0.30375533]
33,0.06800000000000005,[ 0.01026192 -0.00481324],[ 0.2880033  -0.12704273],[ 4.03513256 -1.44992967],[0.1069342  0.31219397]
34,0.07000000000000005,[ 0.01085399 -0.00507299],[ 0.29603812 -0.12987654],[ 4.02529316 -1.42826203],[0.11338561 0.32053659]
35,0.07200000000000005,[ 0.0114621  -0.00533833],[ 0.30405386 -0.13266801],[ 4.01569961 -1.40700077],[0.12001423 0.32878045]
36,0.07400000000000005,[ 0.0120862  -0.00560916],[ 0.31205098 -0.13541796],[ 4.00635189 -1.38614773],[0.12681872 0.33692286]
37,0.07600000000000005,[ 0.01272626 -0.00588542],[ 0.32003    -0.13812719],[ 3.99724996 -1.3657047 ],[0.13379771 0.34496112]
38,0.07800000000000006,[ 0.01338224 -0.00616701],[ 0.32799138 -0.14079653],[ 3.98839372 -1.34567337],[0.14094978 0.35289256]
39,0.08000000000000006,[ 0.01405412 -0.00645386],[ 0.33593563 -0.14342681],[ 3.97978304 -1.32605538],[0.14827348 0.36071453]
40,0.08200000000000006,[ 0.01474184 -0.0067459 ],[ 0.34386324 -0.14601884],[ 3.97141772 -1.3068523 ],[0.15576734 0.3684244 ]
41,0.08400000000000006,[ 0.01544539 -0.00704305],[ 0.35177468 -0.14857346],[ 3.96329752 -1.2880656 ],[0.16342982 0.37601954]
42,0.08600000000000006,[ 0.01616473 -0.00734523],[ 0.35967045 -0.1510915 ],[ 3.95542217 -1.26969672],[0.17125939 0.38349735]
43,0.08800000000000006,[ 0.01689983 -0.00765238],[ 0.36755103 -0.1535738 ],[ 3.94779134 -1.25174701],[0.17925445 0.39085527]
44,0.09000000000000007,[ 0.01765067 -0.00796442],[ 0.37541692 -0.15602118],[ 3.94040466 -1.23421773],[0.18741336 0.39809073]
45,0.09200000000000007,[ 0.01841721 -0.00828129],[ 0.3832686 -0.1584345],[ 3.93326171 -1.2171101 ],[0.19573449 0.4052012 ]
46,0.09400000000000007,[ 0.01919942 -0.00860292],[ 0.39110654 -0.16081459],[ 3.92636202 -1.20042524],[0.20421613 0.41218415]
47,0.09600000000000007,[ 0.01999728 -0.00892924],[ 0.39893124 -0.16316229],[ 3.91970509 -1.18416421],[0.21285655 0.4190371 ]
48,0.09800000000000007,[ 0.02081077 -0.0092602 ],[ 0.40674318 -0.16547846],[ 3.91329035 -1.16832801],[0.221654   0.42575756]
49,0.10000000000000007,[ 0.02163985 -0.00959573],[ 0.41454283 -0.16776394],[ 3.90711721 -1.15291754],[0.23060669 0.4323431 ]
50,0.10200000000000008,[ 0.02248451 -0.00993577],[ 0.42233069 -0.17001957],[ 3.90118502 -1.13793365],[0.23971277 0.43879128]
51,0.10400000000000008,[ 0.02334473 -0.01028026],[ 0.43010722 -0.17224622],[ 3.89549308 -1.12337709],[0.2489704 0.4450997]
52,0.10600000000000008,[ 0.02422047 -0.01062915],[ 0.43787291 -0.17444472],[ 3.89004065 -1.10924856],[0.25837767 0.45126597]
53,0.10800000000000008,[ 0.02511173 -0.01098238],[ 0.44562822 -0.17661595],[ 3.88482695 -1.09554869],[0.26793267 0.45728775]
54,0.11000000000000008,[ 0.02601848 -0.0113399 ],[ 0.45337364 -0.17876074],[ 3.87985114 -1.082278  ],[0.27763344 0.46316269]
55,0.11200000000000009,[ 0.0269407  -0.01170166],[ 0.46110963 -0.18087996],[ 3.87511236 -1.06943698],[0.28747798 0.46888849]
56,0.11400000000000009,[ 0.02787837 -0.01206761],[ 0.46883667 -0.18297446],[ 3.87060968 -1.05702601],[0.29746427 0.47446286]
57,0.11600000000000009,[ 0.02883148 -0.0124377 ],[ 0.47655522 -0.18504509],[ 3.86634213 -1.04504542],[0.30759027 0.47988356]
58,0.11800000000000009,[ 0.02980001 -0.01281189],[ 0.48426576 -0.18709273],[ 3.86230869 -1.03349545],[0.31785388 0.48514834]
59,0.12000000000000009,[ 0.03078395 -0.01319012],[ 0.49196873 -0.18911822],[ 3.85850832 -1.02237628],[0.328253 0.490255]
60,0.1220000000000001,[ 0.03178328 -0.01357237],[ 0.49966462 -0.19112242],[ 3.85493991 -1.01168799],[0.33878548 0.49520137]
61,0.1240000000000001,[ 0.03279799 -0.01395858],[ 0.50735387 -0.19310619],[ 3.8516023  -1.00143061],[0.34944915 0.49998529]
62,0.12600000000000008,[ 0.03382806 -0.01434872],[ 0.51503694 -0.19507038],[ 3.84849432 -0.99160408],[0.3602418  0.50460464]
63,0.12800000000000009,[ 0.03487349 -0.01474275],[ 0.52271429 -0.19701587],[ 3.84561472 -0.98220827],[0.3711612  0.50905733]
64,0.1300000000000001,[ 0.03593426 -0.01514064],[ 0.53038637 -0.19894349],[ 3.84296221 -0.97324297],[0.38220508 0.51334129]
65,0.1320000000000001,[ 0.03701037 -0.01554235],[ 0.53805363 -0.20085412],[ 3.84053548 -0.9647079 ],[0.39337116 0.51745447]
66,0.1340000000000001,[ 0.0381018  -0.01594785],[ 0.54571651 -0.2027486 ],[ 3.83833314 -0.95660271],[0.40465712 0.52139487]
67,0.1360000000000001,[ 0.03920855 -0.0163571 ],[ 0.55337547 -0.20462778],[ 3.8363538  -0.94892696],[0.41606061 0.52516052]
68,0.1380000000000001,[ 0.04033062 -0.01677009],[ 0.56103094 -0.20649254],[ 3.83459598 -0.94168013],[0.42757926 0.52874945]
69,0.1400000000000001,[ 0.04146798 -0.01718678],[ 0.56868336 -0.20834371],[ 3.83305818 -0.93486165],[0.43921066 0.53215975]
70,0.1420000000000001,[ 0.04262065 -0.01760714],[ 0.57633316 -0.21018215],[ 3.83173886 -0.92847085],[0.45095238 0.53538953]
71,0.1440000000000001,[ 0.04378861 -0.01803116],[ 0.58398078 -0.21200871],[ 3.83063642 -0.92250699],[0.46280198 0.53843693]
72,0.1460000000000001,[ 0.04497186 -0.01845881],[ 0.59162664 -0.21382423],[ 3.82974924 -0.91696927],[0.47475696 0.54130012]
73,0.1480000000000001,[ 0.04617041 -0.01889006],[ 0.59927118 -0.21562957],[ 3.82907563 -0.91185678],[0.48681483 0.54397731]
74,0.1500000000000001,[ 0.04738424 -0.01932492],[ 0.6069148  -0.21742557],[ 3.82861387 -0.90716858],[0.49897305 0.54646673]
75,0.1520000000000001,[ 0.04861335 -0.01976334],[ 0.61455794 -0.21921307],[ 3.8283622 -0.9029036],[0.51122907 0.54876665]
76,0.1540000000000001,[ 0.04985775 -0.02020533],[ 0.622201   -0.22099291],[ 3.82831881 -0.89906074],[0.5235803  0.55087537]
77,0.1560000000000001,[ 0.05111744 -0.02065086],[ 0.6298444  -0.22276594],[ 3.82848185 -0.8956388 ],[0.53602413 0.55279122]
78,0.1580000000000001,[ 0.05239242 -0.02109993],[ 0.63748854 -0.22453298],[ 3.82884943 -0.89263652],[0.54855795 0.55451256]
79,0.16000000000000011,[ 0.05368269 -0.02155252],[ 0.64513383 -0.22629486],[ 3.82941962 -0.89005254],[0.56117909 0.5560378 ]
80,0.16200000000000012,[ 0.05498825 -0.02200862],[ 0.65278067 -0.22805243],[ 3.83019045 -0.88788545],[0.57388487 0.55736537]
81,0.16400000000000012,[ 0.05630911 -0.02246823],[ 0.66042944 -0.2298065 ],[ 3.83115988 -0.88613375],[0.58667261 0.55849373]
82,0.16600000000000012,[ 0.05764527 -0.02293135],[ 0.66808055 -0.23155791],[ 3.83232587 -0.88479587],[0.59953958 0.55942139]
83,0.16800000000000012,[ 0.05899674 -0.02339796],[ 0.67573438 -0.23330746],[ 3.83368631 -0.88387015],[0.61248304 0.56014688]
84,0.17000000000000012,[ 0.06036352 -0.02386808],[ 0.68339131 -0.23505599],[ 3.83523906 -0.88335488],[0.62550022 0.56066877]
85,0.17200000000000013,[ 0.06174562 -0.02434168],[ 0.69105173 -0.23680429],[ 3.83698194 -0.88324825],[0.63858834 0.56098567]
86,0.17400000000000013,[ 0.06314306 -0.02481879],[ 0.69871599 -0.23855319],[ 3.83891272 -0.88354839],[0.6517446  0.56109622]
87,0.17600000000000013,[ 0.06455582 -0.0252994 ],[ 0.70638449 -0.24030349],[ 3.84102914 -0.88425336],[0.66496618 0.5609991 ]
88,0.17800000000000013,[ 0.06598394 -0.02578351],[ 0.71405757 -0.24205598],[ 3.8433289  -0.88536112],[0.67825021 0.56069301]
89,0.18000000000000013,[ 0.06742741 -0.02627113],[ 0.7217356  -0.24381148],[ 3.84580965 -0.88686958],[0.69159386 0.5601767 ]
90,0.18200000000000013,[ 0.06888625 -0.02676227],[ 0.72941894 -0.24557077],[ 3.84846901 -0.88877657],[0.70499422 0.55944897]
91,0.18400000000000014,[ 0.07036046 -0.02725694],[ 0.73710793 -0.24733463],[ 3.85130455 -0.89107983],[0.7184484  0.55850863]
92,0.18600000000000014,[ 0.07185007 -0.02775515],[ 0.74480293 -0.24910387],[ 3.85431381 -0.89377704],[0.73195349 0.55735454]
93,0.18800000000000014,[ 0.07335508 -0.02825691],[ 0.75250427 -0.25087925],[ 3.85749429 -0.8968658 ],[0.74550655 0.5559856 ]
94,0.19000000000000014,[ 0.0748755  -0.02876223],[ 0.76021228 -0.25266155],[ 3.86084345 -0.90034366],[0.75910461 0.55440074]
95,0.19200000000000014,[ 0.07641136 -0.02927114],[ 0.76792731 -0.25445154],[ 3.86435871 -0.90420805],[0.77274473 0.55259893]
96,0.19400000000000014,[ 0.07796266 -0.02978364],[ 0.77564966 -0.25624998],[ 3.86803746 -0.90845636],[0.78642391 0.55057919]
97,0.19600000000000015,[ 0.07952942 -0.03029975],[ 0.78337968 -0.25805764],[ 3.87187703 -0.9130859 ],[0.80013914 0.54834055]
98,0.19800000000000015,[ 0.08111165 -0.0308195 ],[ 0.79111766 -0.25987526],[ 3.87587474 -0.91809391],[0.81388742 0.5458821 ]
99,0.20000000000000015,[ 0.08270938 -0.03134291],[ 0.79886392 -0.2617036 ],[ 3.88002786 -0.92347754],[0.82766572 0.54320296]
100,0.20200000000000015,[ 0.08432262 -0.03187   ],[ 0.80661876 -0.2635434 ],[ 3.88433362 -0.9292339 ],[0.84147098 0.54030231]
101,0.20400000000000015,[ 0.08595138 -0.03240079],[ 0.81438248 -0.2653954 ],[ 3.88878922 -0.93535998],[0.85530016 0.53717933]
102,0.20600000000000016,[ 0.08759569 -0.03293531],[ 0.82215537 -0.26726031],[ 3.89339183 -0.94185275],[0.86915018 0.53383327]
103,0.20800000000000016,[ 0.08903078 -0.0332366 ],[ 0.71754168 -0.15064455],[-52.4710233   58.60061382],[0.88301796 0.53026341]
104,0.21000000000000016,[ 0.09048213 -0.03354288],[ 0.72567493 -0.15314048],[ 4.07431226 -1.25878638],[0.8969004  0.52646907]
105,0.21200000000000016,[ 0.09194976 -0.03385418],[ 0.73381705 -0.15564913],[ 4.0787622  -1.26517174],[0.91079439 0.5224496 ]
106,0.21400000000000016,[ 0.0934337  -0.03417052],[ 0.74196831 -0.15817121],[ 4.08335421 -1.27192123],[0.92469681 0.51820441]
107,0.21600000000000016,[ 0.09493395 -0.03449193],[ 0.75012901 -0.16070744],[ 4.0880853  -1.27903144],[0.93860454 0.51373293]
108,0.21800000000000017,[ 0.09645055 -0.03481845],[ 0.7582994  -0.16325855],[ 4.09295245 -1.28649892],[0.95251443 0.50903463]
109,0.22000000000000017,[ 0.09798351 -0.0351501 ],[ 0.76647975 -0.16582522],[ 4.09795259 -1.29432012],[0.96642334 0.50410905]
110,0.22200000000000017,[ 0.09953285 -0.03548692],[ 0.77467033 -0.16840816],[ 4.10308262 -1.30249142],[0.9803281  0.49895573]
111,0.22400000000000017,[ 0.1010986  -0.03582893],[ 0.78287137 -0.17100806],[ 4.10833942 -1.31100916],[0.99422554 0.49357428]
